cino,date,from_court_no,from_judge,to_court_no,to_judge
UPBU040120292015,2018-03-14,30,J.M. Ist,23,A.C.J.M. Court No.2
UPBU040120292015,2019-11-27,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040120292015,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
UPBU040159412018,2019-07-24,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040159412018,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
UPBU040159412018,2022-12-15,39,Addl Civil Judge (JD) Court No.7,30,J.M. Ist
UPBU040120272015,2018-03-14,30,J.M. Ist,23,A.C.J.M. Court No.2
UPBU040120272015,2019-11-27,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040120272015,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
UPBU040028432020,2022-12-15,30,J.M. Ist,33,Addl. Civil Judge (JD) Court No.3
UPBU040028432020,2022-12-15,33,Addl. Civil Judge (JD) Court No.3,30,J.M. Ist
UPBU040159172018,2018-12-03,20,C.J.M.,23,A.C.J.M. Court No.2
UPBU040043872016,2018-03-13,30,J.M. Ist,23,A.C.J.M. Court No.2
UPBU040043872016,2019-07-24,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040043872016,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
BRMG020004892015,2015-01-23,11,Chief Judicial Magistrate,16,JM 1st Class -cum- AM 4th
BRMG020004892015,2015-09-29,NA,NA,27,ACJM 2nd
BRMG020004892015,2019-11-19,27,ACJM 2nd,42,JM 1st Class
BRMG020004892015,2020-11-09,42,JM 1st Class,50,JM 1st Class
BRMG020033202015,2016-01-02,11,Chief Judicial Magistrate,45,ACJM 3rd
BRMG020009102015,2015-03-17,11,Chief Judicial Magistrate,16,JM 1st Class -cum- AM 4th
BRMG020009102015,2015-11-28,NA,NA,45,ACJM 3rd
BRMG020009102015,2017-11-30,NA,NA,24,ACJM 4th
BRMG020009102015,2022-04-26,24,ACJM 4th,14,S.D.J.M.
BRMG020033192015,2016-01-02,11,Chief Judicial Magistrate,40,JM 1st Class No.4
BRMG020033192015,2022-05-31,24,ACJM 4th,49,JM 1st Class
BRMG020033192015,2022-06-07,40,JM 1st Class,24,ACJM 4th
BRMG020021602015,2015-07-25,NA,NA,40,JM 1st Class No.4
BRMG020004692015,2015-01-22,11,Chief Judicial Magistrate,21,JM 1st Class -cum- AM 3rd
BRMG020004692015,2015-10-03,NA,NA,27,ACJM 2nd
BRMG020004692015,2019-02-23,27,ACJM 2nd,37,JM 1st Class
BRMG020021562019,2019-10-03,11,Chief Judicial Magistrate,37,JM 1st Class
BRMG020028922016,2016-11-21,11,Chief Judicial Magistrate,47,JM 2nd Class
BRMG020028922016,2017-04-21,NA,NA,42,JM 1st Class No.5
UPCD040036252019,2022-10-10,3,Judicial Magistrate - I,4,ACJM/Civil Judge Senior Division
UPCD010017622021,2021-08-19,10,Additional District and Sessions Judge / POCSO Act,9,Additional District and Sessions Judge / POCSO Act
UPCD010017642021,2021-08-19,10,Additional District and Sessions Judge / POCSO Act,9,Additional District and Sessions Judge / POCSO Act
UPMO040285202020,2021-06-23,22,Chief Judicial Magistrate,28,A.C.J.M. -4
UPMO040285202020,2021-09-22,28,A.C.J.M. -4,22,Chief Judicial Magistrate
UPMO010042762021,2021-07-07,1,"District and Sessions Judge, Moradabad",5,"Additional District and Sessions Judge Court No. 3, Moradabad"
UPMO040393022017,2022-08-23,36,Judicial Magistrate,24,A.C.J.M. -1
UPMO010043232021,2021-07-08,1,"District and Sessions Judge, Moradabad",5,"Additional District and Sessions Judge Court No. 3, Moradabad"
UPMO010042392021,2021-07-05,1,"District and Sessions Judge, Moradabad",5,"Additional District and Sessions Judge Court No. 3, Moradabad"
UPMO050024272016,2017-05-10,31,Civil Judge Sr. Div. Moradabad,NA,CHIEF JUDICIAL MAGISTRATE MORADABAD
UPMO040470902022,2022-07-29,36,Judicial Magistrate,24,A.C.J.M. -1
UPBU040043872016,2022-12-15,39,Addl Civil Judge (JD) Court No.7,30,J.M. Ist
UPBU040109342016,2018-03-14,30,J.M. Ist,23,A.C.J.M. Court No.2
UPBU040109342016,2019-07-24,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040109342016,2022-12-15,30,J.M. Ist,33,Addl. Civil Judge (JD) Court No.3
UPBU040109342016,2022-12-15,33,Addl. Civil Judge (JD) Court No.3,30,J.M. Ist
UPBU040159192018,2019-10-05,23,A.C.J.M. Court No.2,30,J.M. Ist
BRMG020028922016,2022-10-02,51,JM 1st Class,50,JM 1st Class
BRMG010009512016,2016-05-04,1,District and Sessions Judge,9,A.D.J. 3rd
BRMG010009512016,2018-03-07,9,A.D.J. 3rd,36,A.D.J. 5th
BRMG010009512016,2019-12-17,36,ADJ Vth,38,A.D.J. 4th
BRMG010009512016,2022-12-24,38,A.D.J. 4th,9,A.D.J. 2nd
BRMG020007622015,2015-02-28,11,Chief Judicial Magistrate,16,JM 1st Class -cum- AM 4th
BRMG020007622015,2015-10-07,NA,NA,27,ACJM 2nd
BRMG020007622015,2019-02-23,27,ACJM 2nd,37,JM 1st Class
BRMG020041412019,2022-01-31,24,ACJM 4th,53,JM 1st Class
BRMG020032402019,2020-01-07,11,Chief Judicial Magistrate,53,JM 1st Class
BRMG020032402019,2021-11-16,53,JM 1st Class,56,JM 2nd Class
BRMG020032402019,2022-06-30,NA,NA,50,JM 1st Class
BRAR020054402017,2017-12-16,5,CJM,13,Judicial Magistrate 1st Class cum AM-1
BRAR020019052018,2019-05-28,5,CJM,8,SDJM
BRAR020019052018,2022-09-07,8,SDJM,40,Judicial Magistrate 1st Class cum AM-1
BRAR020051082015,2022-07-28,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020045562016,2022-09-07,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020054432017,2018-01-16,5,CJM,22,Judicial Magistrate 1st Class
BRAR020054432017,2020-01-13,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020054432017,2021-06-24,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020033772018,2019-03-12,19,CJM DIVISION,NA,DJ DIVISION
BRAR020029012017,2017-09-07,5,CJM,14,Judicial Magistrate 1st Class
BRAR020029012017,2017-11-02,14,Judicial Magistrate 1st Class,22,Judicial Magistrate 1st Class
BRAR020029012017,2018-01-16,22,Judicial Magistrate 1st Class,5,CJM
BRAR020029012017,2018-05-19,5,CJM,22,Judicial Magistrate 1st Class
BRAR020029012017,2019-12-23,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020029012017,2021-06-28,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020029012017,2021-08-03,28,Sub Judge-VI cum A.C.J.M-V,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020029012017,2022-05-30,29,Sub Judge-VII cum A.C.J.M-VI,42,Judicial Magistrate 1st Class cum AM-1
BRAR020031922017,2017-09-07,5,CJM,22,Judicial Magistrate 1st Class
BRAR020031922017,2020-01-13,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020031922017,2022-06-04,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR010017912019,2019-03-16,25,District and Sessions Judge,28,ADJ V
BRAR020045552016,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR010006712021,2021-06-23,25,District and Sessions Judge,30,ADJ VII
BRAR010006712021,2021-09-28,30,ADJ VII,27,ADJ IV
BRAR010006712021,2022-10-10,27,ADJ IV,22,ADJ II
BRAR020043962015,2017-11-28,24,Sub Judge-III cum A.C.J.M-II,5,CJM
BRAR020043962015,2018-02-02,24,Sub Judge-III cum A.C.J.M-II,22,Judicial Magistrate 1st Class
BRAR020043962015,2019-12-24,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020043962015,2021-06-28,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020064572016,2021-10-22,29,Sub Judge-VII cum A.C.J.M-VI,38,Judicial Magistrate IInd Class
BRAR020072612017,2018-11-16,5,CJM,22,Judicial Magistrate 1st Class
BRAR020072612017,2019-12-24,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020072612017,2021-06-28,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020051222015,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020045032016,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020054382017,2018-01-23,5,CJM,22,Judicial Magistrate 1st Class
BRAR020048482017,2017-08-29,5,CJM,14,Judicial Magistrate 1st Class
BRAR020048482017,2017-12-05,14,Judicial Magistrate 1st Class,5,CJM
BRAR020050752016,2021-12-11,8,SDJM,28,Sub Judge-VI cum A.C.J.M-V
BRAR020045262016,2019-08-05,29,Sub Judge-VII cum A.C.J.M-VI,14,Judicial Magistrate 1st Class
BRAR020045262016,2020-01-16,14,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020045262016,2021-06-25,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020019402018,2019-02-07,5,CJM,13,Judicial Magistrate 1st Class cum AM-1
BRAR020045632016,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020051142015,2022-08-26,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020041382016,2019-09-06,NA,NA,14,Judicial Magistrate 1st Class
BRAR020041382016,2020-01-09,14,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020041382016,2021-06-26,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020059042016,2020-02-14,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020059042016,2021-06-26,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020045622016,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020071552019,2020-04-17,5,CJM,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020071552019,2022-05-12,29,Sub Judge-VII cum A.C.J.M-VI,34,Judicial Magistrate 1st Class cum AM-1
BRAR020032362019,2021-03-02,5,CJM,28,Sub Judge-VI cum A.C.J.M-V
BRAR020063922017,2018-01-08,5,CJM,22,Judicial Magistrate 1st Class
BRAR020063922017,2020-01-13,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020063922017,2021-10-22,29,Sub Judge-VII cum A.C.J.M-VI,38,Judicial Magistrate IInd Class
BRAR020045602016,2022-07-28,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020045612016,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020061482019,2019-10-01,5,CJM,28,Sub Judge-VI cum A.C.J.M-V
BRAR020061482019,2020-04-27,28,Sub Judge-VI cum A.C.J.M-V,25,Sub Judge-IV cum A.C.J.M-III
BRAR020061482019,2022-06-16,25,Sub Judge-IV cum A.C.J.M-III,41,Judicial Magistrate 1st Class cum AM-1
BRAR020061482019,2022-06-16,41,Judicial Magistrate 1st Class cum AM-1,25,Sub Judge-IV cum A.C.J.M-III
BRAR020061482019,2022-07-15,25,Sub Judge-IV cum A.C.J.M-III,41,Judicial Magistrate 1st Class cum AM-1
BRAR020051042015,2022-07-28,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020008072020,2020-02-14,5,CJM,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020008072020,2022-05-12,29,Sub Judge-VII cum A.C.J.M-VI,34,Judicial Magistrate 1st Class cum AM-1
BRAR020051002015,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR010011912019,2019-02-16,25,District and Sessions Judge,27,ADJ IV
BRAR020025862022,2022-06-20,29,Sub Judge-VII cum A.C.J.M-VI,8,SDJM
BRAR020019012017,2017-05-24,5,CJM,14,Judicial Magistrate 1st Class
BRAR020019012017,2017-11-28,14,Judicial Magistrate 1st Class,8,SDJM
BRAR010032722019,2019-05-22,25,District and Sessions Judge,22,ADJ II
BRAR020015862017,2017-05-19,5,CJM,14,Judicial Magistrate 1st Class
BRAR020015862017,2018-04-09,NA,NA,22,Judicial Magistrate 1st Class
BRAR020015862017,2020-02-05,22,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020015862017,2022-05-25,29,Sub Judge-VII cum A.C.J.M-VI,38,Judicial Magistrate 1st Class cum AM-1
BRAR020053222020,2021-01-04,5,CJM,33,Judicial Magistrate Ist Class
BRAR020053222020,2021-01-28,33,CJM DIVISION,NA,DJ DIVISION
BRAR020005602022,2022-06-01,5,CJM,8,SDJM
BRAR020051062015,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020033202018,2018-09-10,5,CJM,13,Judicial Magistrate 1st Class cum AM-1
BRAR020063192017,2018-01-19,5,CJM,13,Judicial Magistrate 1st Class cum AM-1
BRAR010034182018,2018-07-21,25,District and Sessions Judge,3,st ADJ
BRAR020045172016,2019-09-06,NA,NA,14,Judicial Magistrate 1st Class
BRAR020045172016,2020-02-13,14,Judicial Magistrate 1st Class,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020045172016,2021-06-25,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020043242015,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020050972015,2022-07-27,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020053322018,2019-09-05,NA,NA,19,Sub Judge-I cum A.C.J.M-I
BRAR020019412018,2019-05-22,5,CJM,13,Judicial Magistrate 1st Class cum AM-I
BRAR020005402019,2020-09-18,5,CJM,33,Judicial Magistrate Ist Class
BRAR020020562019,2019-04-08,5,CJM,19,Sub Judge-I cum A.C.J.M-I
BRAR020020562019,2020-01-07,19,Sub Judge-I cum A.C.J.M-I,29,Sub Judge-VII cum A.C.J.M-VI
BRAR020020562019,2021-07-14,29,Sub Judge-VII cum A.C.J.M-VI,28,Sub Judge-VI cum A.C.J.M-V
BRAR020072622017,2018-03-27,5,CJM,13,Judicial Magistrate 1st Class cum AM-1
BRAR020051032015,2022-07-28,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRAR020057532015,2020-07-24,28,Sub Judge-VI cum A.C.J.M-V,25,Sub Judge-IV cum A.C.J.M-III
BRAR020057532015,2022-07-04,25,Sub Judge-IV cum A.C.J.M-III,34,Judicial Magistrate 1st Class cum AM-1
BRAR020051252015,2022-08-01,8,SDJM,42,Judicial Magistrate 1st Class cum AM-1
BRMB110002432019,2022-02-28,9,A.C.J.M-III,8,A.C.J.M-II
BRMB110002432019,2022-08-31,8,A.C.J.M-II,7,J.M.Ist class
BRMB210008292016,2020-02-28,3,Judicial Magistrate 1st  Class-I,6,A.C.J.M-III
BRMB210008292016,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB210003872016,2020-02-26,3,Judicial Magistrate 1st  Class-I,6,A.C.J.M-III
BRMB210003872016,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB010047582022,2022-09-13,1,District and Sessions Judge,3,st A.D.J.-Cum-Spcl. Judge(MLA/MP)
BRMB020021762018,2021-11-29,8,C.J.M.,29,nd A.C.J.M.
BRMB020021762018,2022-07-20,29,nd A.C.J.M.,9,st A.C.J.M.
BRMB210009072016,2019-03-05,1,Addl. Chief Judicial Magistrate -I,4,Judicial Magistrate 1st  Class-II
BRMB210009072016,2019-11-21,4,Judicial Magistrate 1st  Class-II,2,S.D.J.M.
BRMB020027882018,2019-05-21,8,C.J.M.,18,J.M. 2nd Class-I
BRMB020027882018,2019-12-18,NA,NA,28,J.M. 1st  Class-III
BRMB020027882018,2022-07-27,28,J.M. 1st  Class-III,26,J.M. 1st Class-VI
BRMB210004622018,2020-01-11,1,Addl. Chief Judicial Magistrate -I,6,A.C.J.M-III
BRMB210004622018,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB100000932015,2015-02-10,1,JJPDJ,NA,CJM Division
BRMB020042332015,2021-01-06,31,th A.C.J.M.,27,J.M. 1st Class-II
BRMB210007152016,2020-02-06,3,Judicial Magistrate 1st  Class-I,6,A.C.J.M-III
BRMB210007152016,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB210008552021,2022-05-13,1,A.C.J.M-I,8,Judicial Magistrate 1st  Class-II
BRMB020027202018,2021-02-18,31,th A.C.J.M.,28,J.M. 1st  Class-III
BRMB020027202018,2022-12-03,28,J.M. 1st  Class-III,23,J.M. 1st Class-I
BRMB020027932018,2019-05-21,8,C.J.M.,19,J.M. 2nd Class-I
BRMB020027932018,2019-12-18,NA,NA,24,JM 1st Class-IV
BRMB020002172016,2016-07-23,8,C.J.M.,12,S.D.J.M.
BRMB020002172016,2018-10-21,12,S.D.J.M.,8,C.J.M.
BRMB020027912018,2019-05-21,8,C.J.M.,22,J.M. 2nd Class-I
BRMB020027912018,2019-12-18,NA,NA,26,J.M. 1st Class-VI
BRMB010049812016,2016-12-23,1,District and Sessions Judge,3,st A.D.J.
BRMB020003652020,2020-02-13,8,C.J.M.,23,J.M. 1st Class-I
BRMB020003652020,2021-07-16,23,J.M. 1st Class-I,9,st A.C.J.M.
BRMB020003652020,2022-06-14,9,st A.C.J.M.,23,J.M. 1st Class-I
BRMB210004602018,2020-01-11,1,Addl. Chief Judicial Magistrate -I,6,A.C.J.M-III
BRMB210004602018,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB020042362015,2021-01-29,31,th A.C.J.M.,27,J.M. 1st Class-II
BRMB020036772016,2018-11-24,23,J.M. 1st Class-II,27,J.M. 1st Class-VII
BRMB020036772016,2020-01-20,27,J.M. 1st Class-II,24,JM 1st Class-IV
BRMB020027942018,2019-05-21,8,C.J.M.,19,J.M. 2nd Class-I
BRMB020027942018,2019-12-18,NA,NA,24,JM 1st Class-IV
BRMB100007772018,2022-06-07,11,ADJ I,13,Adj III
BRMB100000922015,2015-02-09,1,JJPDJ,NA,CJM Division
BRMB210003852016,2020-02-26,3,Judicial Magistrate 1st  Class-I,6,A.C.J.M-III
BRMB210003852016,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB020042342015,2021-02-02,31,th A.C.J.M.,27,J.M. 1st Class-II
BRMB020021782018,2021-11-29,8,C.J.M.,29,nd A.C.J.M.
BRMB020021782018,2022-07-20,29,nd A.C.J.M.,9,st A.C.J.M.
BRMB010071072019,2020-12-02,15,th A.D.J.,19,th A.D.J.
BRMB010071072019,2022-06-01,19,th A.D.J.,NA,NA
BRMB020042322015,2021-01-06,31,th A.C.J.M.,27,J.M. 1st Class-II
BRMB020042322015,2022-02-15,27,J.M. 1st Class-II,34,JM 2nd Class-II
BRMB020042322015,2022-06-10,34,JM 2nd Class-II,27,J.M. 1st Class-II
UPBB010040702015,2016-05-16,5,"Addl. District &amp; Sessions Judge, Court no.-5",4,"Addl. District & Sessions Judge, Court no.-4"
UPBB010040702015,2017-02-07,4,"Addl. District &amp; Sessions Judge, Court no.-4",1,"Addl. District & Sessions Judge, Court No.-1"
UPBB010040702015,2017-05-17,1,"Addl. District &amp; Sessions Judge, Court No.-1",60,"Addl. District & Sessions Judge, Court no.-6"
UPBB010040702015,2017-07-03,60,"Addl. District &amp; Sessions Judge, Court no.-6",1,"Addl. District & Sessions Judge, Court No.-1"
UPBB010040702015,2017-09-01,1,"Addl. District &amp; Sessions Judge, Court No.-1",60,"Addl. District & Sessions Judge, Court no.-6"
UPBB010040702015,2017-11-23,60,"Addl. District &amp; Sessions Judge, Court no.-6",5,"Addl. District & Sessions Judge, Court no.-5"
UPBB010040702015,2018-04-26,5,"Addl. District &amp; Sessions Judge, Court no.-5",60,"Addl. District & Sessions Judge, Court no.-6"
UPBB010040702015,2018-08-10,60,VIIth Additional District and Sessions Judge,9,VIIIth Additional District and Sessions Judge
UPBB010040702015,2018-10-31,9,"Addl. District and Sessions Judge, FTC C.No-36",1,Ist Additional District and Sessions Judge
UPBB010040702015,2019-04-17,1,"Addl. District &amp; Sessions Judge, Court No.-1",9,"Addl. District & Sessions Judge, Court no.-9"
UPBB010040702015,2019-05-31,9,"Addl. District &amp; Sessions Judge, Court no.-9",4,"Addl. District & Sessions Judge, Court no.-4"
UPBB010040702015,2019-08-08,4,"Addl. District &amp; Sessions Judge, Court no.-4",8,"Addl. District & Sessions Judge, Court no.-8"
UPGB040263062016,2022-12-20,11,ACJM-I,22,Civil Judge (Jr. Div.)/FTC
UPGB040085612018,2022-08-02,NA,NA,18,Addl. Civil Judge (Jr. Div.) C RNo. 5
UPGB060073452017,2018-05-23,14,Civil Judge Junior Division,NA,Chief Judicial Magistrate
UPGB060071312015,2017-05-23,14,Civil Judge Junior Division,NA,Chief Judicial Magistrate
UPGB040268972018,2019-03-31,4,Chief Judicial Magistrate,NA,Civil Judge Senior Division
UPGB040210192017,2017-03-24,2,Chief Judicial Magistrate,15,ACJM-III
UPGB040210192017,2017-09-17,15,ACJM-III,2,Chief Judicial Magistrate
UPHT040018222015,2016-11-11,5,Chief Judicial Magistrate,7,Addl. Chief Judicial Magistrate Court No. 2
UPHT040018222015,2016-12-18,7,Addl. Chief Judicial Magistrate Court No. 2,5,Chief Judicial Magistrate
UPHT040018212015,2016-11-11,5,Chief Judicial Magistrate,7,Addl. Chief Judicial Magistrate Court No. 2
UPHT040018212015,2020-09-26,7,Addl. Chief Judicial Magistrate Court No. 2,12,Civil Judge (Jr.Div.)/FTC
UPHT040052142019,2020-06-24,7,Addl. Chief Judicial Magistrate Court No. 2,10,Civil Judge (Sr. Div.)
UPHT040052142019,2020-09-21,10,Civil Judge (Sr. Div.),7,Addl. Chief Judicial Magistrate Court No. 2
UPMZ040282102022,2023-01-07,22,A.C.J.M. C.NO.1,21,C.J.M.
UPSH060020022019,2020-03-04,29,Civil Judge Junior Division,NA,Chief Judicial Magistrate
UPSH040109632020,2021-08-12,20,"Additional Chief Judicial Magistrate-1 , Court No. 16",27,"Judicial Magistrate- III , Court No. 33"
UPBU040109322016,2018-03-14,30,J.M. Ist,23,A.C.J.M. Court No.2
UPBU040109322016,2019-07-24,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040109322016,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
UPBU040109322016,2022-12-15,39,Addl Civil Judge (JD) Court No.7,30,J.M. Ist
UPBU040120332015,2018-03-13,30,J.M. Ist,23,A.C.J.M. Court No.2
UPBU040120332015,2019-11-27,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040120332015,2022-12-15,30,J.M. Ist,33,Addl. Civil Judge (JD) Court No.3
UPBU040120332015,2022-12-15,33,Addl. Civil Judge (JD) Court No.3,30,J.M. Ist
UPBU040159902018,2019-07-24,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040159902018,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
UPBU040159902018,2022-12-15,39,Addl Civil Judge (JD) Court No.7,30,J.M. Ist
UPBU040159772018,2019-07-24,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040159772018,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
UPBU040159772018,2022-12-15,39,Addl Civil Judge (JD) Court No.7,30,J.M. Ist
UPBU040043932016,2018-03-14,30,J.M. Ist,23,A.C.J.M. Court No.2
UPBU040043932016,2019-07-24,23,A.C.J.M. Court No.2,30,J.M. Ist
UPBU040043932016,2022-12-13,30,J.M. Ist,39,Addl Civil Judge (JD) Court No.7
UPBU040043932016,2022-12-15,39,Addl Civil Judge (JD) Court No.7,30,J.M. Ist
BRMB210004782016,2020-01-28,3,Judicial Magistrate 1st  Class-I,6,A.C.J.M-III
BRMB210004782016,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB210007592016,2019-03-05,1,Addl. Chief Judicial Magistrate -I,4,Judicial Magistrate 1st  Class-II
BRMB210007132016,2020-01-28,3,Judicial Magistrate 1st  Class-I,6,A.C.J.M-III
BRMB210007132016,2022-02-02,6,A.C.J.M-III,2,S.D.J.M.
BRMB020003222019,2022-08-10,8,C.J.M.,12,S.D.J.M.
BRMB020021752018,2020-02-26,8,C.J.M.,26,J.M. 1st Class-VI
BRMB020021802018,2019-05-21,8,C.J.M.,16,J.M. 2nd Class-I
BRMB020021802018,2019-12-16,16,J.M. 2nd Class-I,23,J.M. 1st Class-II
BRMB020021802018,2022-06-08,23,J.M. 1st Class-I,27,J.M. 1st Class-II
BRMB020042462015,2019-07-09,8,C.J.M.,16,J.M. 2nd Class-I
BRMB020042462015,2019-12-19,NA,NA,23,J.M. 1st Class-I
BRMB110000742016,2020-02-10,1,A.C.J.M-I,8,A.C.J.M-II
BRMB020027892018,2019-05-21,8,C.J.M.,20,J.M. 2nd Class-I
BRMB020027922018,2019-05-21,8,C.J.M.,18,J.M. 2nd Class-I
BRMB020027922018,2019-12-18,NA,NA,28,J.M. 1st  Class-III
BRMB020027922018,2022-09-27,28,J.M. 1st  Class-III,24,JM 1st Class-IV
BRMB020038032016,2018-11-01,23,J.M. 1st Class-II,27,J.M. 1st Class-VII
BRMB020038032016,2020-01-20,27,J.M. 1st Class-II,24,JM 1st Class-IV
BRMB020031622017,2018-12-01,8,C.J.M.,34,J.M. 2nd Class-I
BRMB020031622017,2018-12-21,NA,NA,28,J.M. 1st  Class-III
BRMB020031622017,2020-01-23,28,J.M. 1st  Class-III,26,J.M. 1st Class-VI
BRMB020026322018,2019-05-21,8,C.J.M.,17,J.M. 2nd Class-I
BRMB020026322018,2019-12-18,NA,NA,27,J.M. 1st Class-II
BRMB210002502022,2022-07-01,NA,NA,14,Judicial Magistrate 1st Class-VIII
BRMB020026332018,2019-05-21,8,C.J.M.,16,J.M. 2nd Class-I
BRMB020026332018,2019-12-16,16,J.M. 2nd Class-I,23,J.M. 1st Class-II
BRMB020008922018,2020-02-26,8,C.J.M.,26,J.M. 1st Class-VI
BRMB020019062015,2015-08-18,27,JM 1st Class-IV,NA,NA
BRMB020019062015,2015-10-07,8,C.J.M.,27,JM 1st Class-IV
BRMB020019062015,2017-02-06,27,J.M. 1st Class-VII,NA,NA
BRMB020019062015,2017-04-20,NA,NA,28,J.M. 1st  Class-III
BRMB020019062015,2022-12-09,28,J.M. 1st  Class-III,24,JM 1st Class-IV
BRSU110004952012,2021-01-07,3,Munsif,5,Addl Chief Judicial Magistrate-II
BRSU110004952012,2021-11-01,5,Addl Chief Judicial Magistrate-II,6,J.M.-2nd Class
BRSU020018062022,2022-11-17,6,C.J.M-cum-Sub Judge-II,26,JM-cum-AM
BRSU020026922022,2023-01-10,6,C.J.M-cum-Sub Judge-II,27,JM-cum-AM
BRSU020037952017,2018-02-05,6,C.J.M-cum-Sub Judge-II,17,ACJM-IV-cum-Sub Judge-V
BRSU020037952017,2019-08-30,NA,NA,9,SDJM
BRSU110003352013,2021-01-07,3,Munsif,5,Addl Chief Judicial Magistrate-II
BRSU110003352013,2021-11-01,5,Addl Chief Judicial Magistrate-II,6,J.M.-2nd Class
BRSU110004532012,2021-01-07,3,Munsif,5,Addl Chief Judicial Magistrate-II
