cino,date,from_court_no,from_judge,to_court_no,to_judge
ASHI030027722017,2018-03-14,6,Judicial Magistrate First Class,5,Munsiff No. 1
ASNL030012932019,2020-02-06,7,Munsiff No. 2 cum JMFC,4,Addl. Chief Judicial Magistrate
ASBK030007782019,2021-02-12,4,Addl Chief Judicial Magistrate,2,Judicial Magistrate 1st Class
ASBK030007782019,2023-03-01,2,Judicial Magistrate 1st Class,7,Sub Divisional Judicial Magistrate (S)
ASBK030006342021,2022-11-15,4,Addl Chief Judicial Magistrate,6,Judicial Magistrate 1st Class
ASCC030030232018,2019-04-30,NA,NA,14,JMFC 2
ASCC030030232018,2018-08-03,14,Chief Judicial Magistrate Court,NA,Munsiff Court
ASCC030000802017,2018-03-12,13,SDJM (S),15,JMFC 3
ASCC030007012019,2019-03-18,NA,NA,14,JMFC 2
ASCC040025052017,2018-02-23,9,Munsiff No. 4 cum JMFC,7,Munsiff No. 2 cum JMFC
ASCC030026492016,2018-04-05,13,SDJM (S),12,SDJM (S)
ASCC030026492016,2021-01-04,12,SDJM (S),16,JMFC 4
ASCC030014842017,2017-07-27,10,Chief Judicial Magistrate Court,NA,Munsiff Court
ASCC030023822019,2019-06-24,NA,NA,10,Chief Judicial Magistrate
ASCC030023902019,2019-06-24,NA,NA,11,Addl. Chief Judicial Magistrate
ASCC030004022020,2020-02-05,NA,NA,11,Addl. Chief Judicial Magistrate
ASCC040025032017,2018-02-23,9,Munsiff No. 4 cum JMFC,7,Munsiff No. 2 cum JMFC
ASCC030001302020,2020-01-10,NA,NA,11,Addl. Chief Judicial Magistrate
ASCC030001212017,2018-03-28,13,SDJM (S),12,SDJM (S)
ASCC030020872019,2019-06-24,NA,NA,12,SDJM (S)
ASCC030039862022,2022-12-22,0,Chief Judicial Magistrate Court,NA,Munsiff Court
ASCC030020442016,2019-11-19,11,Addl. Chief Judicial Magistrate,13,JMFC 1
ASCC030029462017,2017-09-07,10,Chief Judicial Magistrate,11,Addl. Chief Judicial Magistrate
ASCC030032092017,2017-09-20,10,Chief Judicial Magistrate Court,NA,Munsiff Court
ASCC040006202017,2017-12-07,7,Munsiff Court,NA,Chief Judicial Magistrate Court
ASCC030002092020,2020-01-21,NA,NA,11,Addl. Chief Judicial Magistrate
ASCC030026532016,2019-04-25,10,Chief Judicial Magistrate,14,JMFC 2
ASCC030026532016,2016-12-08,14,Chief Judicial Magistrate Court,NA,Munsiff Court
ASCC030032102017,2017-09-20,10,Chief Judicial Magistrate Court,NA,Munsiff Court
ASCC030029412015,2018-04-17,13,SDJM (S),12,SDJM (S)
ASCC030013792021,2021-06-18,NA,NA,13,JMFC 1
ASCC040002792017,2017-11-22,7,Munsiff Court,NA,Chief Judicial Magistrate Court
