CIN/LLPIN,Legal_Name,Purchaser_Entries,Donor_Type,TotalNumberBonds,TotalDonorAmount,PayBranchCodes,PayTellers
U40106GJ2016PLC092783,SKEIRON RENEWABLE ENERGY AMIDYALA LIMITED,SKEIRON RENEWABLE ENERGY AMIDYALA PRIVATE LIMITED;SKEIRON RENEWABLE ENERGY AMIDYALA P,SKEIRON RENEWABLE ENERGY AMIDYALA LIMITED,2,70000000,847,6458726;7445512
U67120WB1995PTC071335,ASISH FINANCE PRIVATE LIMITED,ASISH FINANCE PRIVATE LIMITED,ASISH FINANCE PRIVATE LIMITED,1,70000000,1,5898161
L99999PB1990PLC010307,TRIDENT LIMITED,TRIDENT LIMITED;TRIDENT LIMITED {FORMERLY ABHISHEK INDUS TRIES LIMITED},TRIDENT LIMITED,2,70000000,628,5809436
U15118WB1970PTC027754,TIVOLI PARK APARTMENTS PVT LTD,TIVOLI PARK APARTMENTS PVT LTD,TIVOLI PARK APARTMENTS PVT LTD,1,70000000,1,6405134
U45400MH2012PLC234318,CAPACIT'E INFRAPROJECTS LIMITED,CAPACITE INFRAPROJECTS LTD,CAPACIT'E INFRAPROJECTS LIMITED,1,70000000,300,7905165
U70102MH2001PTC133564,SCAFFOLD PROPERTIES PRIVATE LIMITED,SCAFFOLD PROPERTIES PVT LTD,SCAFFOLD PROPERTIES PRIVATE LIMITED,1,70000000,300,7905165
L16005WB1910PLC001985,ITC LIMITED,ITC LIMITED,ITC LIMITED,1,65575000,1,5899230
U45202WB2001PTC093327,CAMELIA GRIHA NIRMAN PRIVATE LIMITED,CAMELIA GRIHA NIRMAN PRIVATE LIMITED,CAMELIA GRIHA NIRMAN PRIVATE LIMITED,1,65000000,300,7905165
L34102PN1958PLC011172,FORCE MOTORS LIMITED,FORCE MOTORS LTD,FORCE MOTORS LIMITED,1,63500000,300,4180496;1022034
U64990TG2010PTC071973,MADHYA PRADESH WASTE MANAGEMENT PRIVATE LIMITED,MADHYA PRADESH WASTE MANAGEMENT PRI;MADHYA PRADESH WASTE MANAGEMENT PR,MADHYA PRADESH WASTE MANAGEMENT PRIVATE LIMITED,2,62500000,847,8424020;3394387
U51909MH2018PTC313332,GANDHAR COALS & MINES PRIVATE LIMITED,GANDHAR COALS AND MINES PVT LTD,GANDHAR COALS & MINES PRIVATE LIMITED,1,60000000,300,7905165;1022034
U52590WB2011PTC159385,ROSHNI DEALMARK PRIVATE LIMITED,ROSHNI DEALMARK PRIVATE LIMITED;ROSHNI DEALMARK PRIVATE LTD,ROSHNI DEALMARK PRIVATE LIMITED,2,60000000,41,7409060
L99999MH1949PLC007039,PATEL ENGINEERING LIMITED,PATEL ENGINEERING LTD.,PATEL ENGINEERING LIMITED,1,60000000,300,7905165;1022034
U40108PN2004PTC019322,MAHALAXMI VIDYUT PRIVATE LIMITED,MAHALAXMI VIDYUT PVT.LTD.,MAHALAXMI VIDYUT PRIVATE LIMITED,1,60000000,300,6830668
U74900PN2008PTC132926,GK ENERGY MARKETERS PRIVATE LIMITED,GK ENERGY MARKETERS PRIVATE LIMITED,GK ENERGY MARKETERS PRIVATE LIMITED,1,60000000,300,1022034
U70101MH1977PTC019903,IDEAL ROAD BUILDERS PRIVATE LIMITED,IDEAL ROAD BUILDERS PVT.LTD.,IDEAL ROAD BUILDERS PRIVATE LIMITED,1,60000000,300,1022034
U51909WB1992PTC055344,BENGAL VIPANAPAN PVT LTD,BENGAL VIPANAPAN PRIVATE LIMITED,BENGAL VIPANAPAN PVT LTD,1,60000000,1,5054982
U55101MH2015PTC265318,SRICHAITANYA STUDENTS FACILITY MANAGEMENT PRIVATE LIMITED,SRI CHAITANYA STUDENTS FACILITY MANAGEME,SRICHAITANYA STUDENTS FACILITY MANAGEMENT PRIVATE LIMITED,1,60000000,847,6458726
L25100MH1958PLC011041,CEAT LIMITED,CEAT LTD,CEAT LIMITED,1,60000000,300,4180496
U45201MP2004PTC016380,VIJAY KUMAR MISHRA CONSTRUCTION PRIVATE LIMITED,VIJAYKUMARMISHRACONSTRUCTIONPVT,VIJAY KUMAR MISHRA CONSTRUCTION PRIVATE LIMITED,1,60000000,1308,8492239
U74999TG2018PTC126843,EVEY TRANS PRIVATE LIMITED,EVEY TRANS PVT LTD,EVEY TRANS PRIVATE LIMITED,1,60000000,847,3898296
U60231RJ2006PTC022841,TANUSHREE LOGISTICS PRIVATE LIMITED,TANUSHREE LOGISTICS PRIVATE LIMITED,TANUSHREE LOGISTICS PRIVATE LIMITED,1,56000000,656,6957021;6971520
L85110KA1954PLC000759,THE SANDUR MANGANESE AND IRON ORES LIMITED,THE SANDUR MANGANESE &AMP;AMP; IRON ORES LI,THE SANDUR MANGANESE AND IRON ORES LIMITED,1,56000000,813,6188222
U74900TG2013FTC085435,CYGNUS POWER INFRA SERVICES PRIVATE LIMITED,CYGNUS POWER INFRA SERVICES PRIVATE,CYGNUS POWER INFRA SERVICES PRIVATE LIMITED,1,55000000,847,6458726
U45400WB2007PTC116326,RITESH PROJECTS PRIVATE LIMITED,RITESH PROJECTS PVT LTD,RITESH PROJECTS PRIVATE LIMITED,1,53500000,1,5054982;6405134
AAF-9693,CAPSTAN TRADING LLP,CAPSTAN TRADING LLP,CAPSTAN TRADING LLP,1,52500000,300,7905165
AAF-9705,PALM SHELTER ESTATE DEVELOPMENT LLP,PALM SHELTER ESTATE DEVELOPMENT LL;PALM SHELTER ESTATE DEVELOPMENT LLP,PALM SHELTER ESTATE DEVELOPMENT LLP,2,52500000,300,7905165
AAC-2905,STOCK PATH ADVISORS LLP,STOCKPATHADVISORSLLP,STOCK PATH ADVISORS LLP,1,52000000,1,5898161
U45200MH1995PTC094208,KEYSTONE REALTORS PRIVATE LIMITED,KEYSTONE REALTORS PVT LTD,KEYSTONE REALTORS PRIVATE LIMITED,1,50000000,300,4180496
L27100MH1973PLC016617,SARDA ENERGY & MINERALS LIMITED,SARDA ENERGY AND MINERALS LTD,SARDA ENERGY & MINERALS LIMITED,1,50000000,461,7613660
U51432MH2000PTC130107,BLUEBERRY TRADING COMPANY PRIVATE LIMITED,BLUEBERRY TRADING COMPANY PRIVATE L,BLUEBERRY TRADING COMPANY PRIVATE LIMITED,1,50000000,300,4180496
U45200MH2001PLC171661,VIVA HIGHWAYS LIMITED,VIVA HIGHWAYS LTD,VIVA HIGHWAYS LIMITED,1,50000000,300,7905165
U45209KL2007PTC020743,AISHWARYA BUSINESS CORPORATION PRIVATE LIMITED,"AISHWARYA BUSINESS CORPORATION PVT, LTD",AISHWARYA BUSINESS CORPORATION PRIVATE LIMITED,1,50000000,300,4180496
U51900MH2006PTC159467,K. AMISHKUMAR TRADING PRIVATE LIMITED,K AMISH KUMAR TRADING PVT LTD,K. AMISHKUMAR TRADING PRIVATE LIMITED,1,50000000,300,7905165
AAF-4892,KCR ENTERPRISE LLP,KCR ENTERPRISE LLP,KCR ENTERPRISE LLP,1,50000000,847,7445512
U74120MH2012PTC237346,RSBL SPOT TRADING PRIVATE LIMITED,AUGMONT ENTERPRISES PRIVATE LIMITED,RSBL SPOT TRADING PRIVATE LIMITED,1,50000000,300,7905165
ACA-4770,VASAVI AVENUES LLP,VASAVI AVENUES LLP,VASAVI AVENUES LLP,1,50000000,847,6458726
L26941UP1983PLC027278,RADICO KHAITAN LIMITED,RADICO KHAITAN LIMITED,RADICO KHAITAN LIMITED,1,50000000,691,3300196
U51909DL2010PTC258607,INFOTEL ACCESS ENTERPRISES PRIVATE LIMITED,INFOTELACCESSENTERPRISESPL00108,INFOTEL ACCESS ENTERPRISES PRIVATE LIMITED,1,50000000,691,3300196
U74110HR2017PTC084806 ,MN MEDIA VENTURES PRIVATE LIMITED,MNMEDIAVENTURESPVTL108,MN MEDIA VENTURES PRIVATE LIMITED,1,50000000,691,5972302
U45203DL2014PLC265735,ASHOKA GVR MUDHOL NIPANI ROADS LIMITED,ASHOKA MUDHOL NIPANI ROADS LIMITED,ASHOKA GVR MUDHOL NIPANI ROADS LIMITED,1,50000000,300,7905165
U73100TG2007PLC052813,AXIS CLINICALS LIMITED,AXIS CLINICALS LIMITED,AXIS CLINICALS LIMITED,1,50000000,847,3898296
L62100DL2004PLC129768,INTERGLOBE AVIATION LIMITED,INTERGLOBE AVIATION LIMITED,INTERGLOBE AVIATION LIMITED,1,50000000,691,8212066
AAS-4401,YUVAN TRADING & CONSULTANCY LLP,YUVAN TRADING CONSULTANCY LLP,YUVAN TRADING & CONSULTANCY LLP,1,50000000,300,1022034
U74140DL2015PTC280110,ORANGE ANANTAPUR WIND POWER PRIVATE LIMITED,GREENKO ANANTAPUR WIND POWER PRIVATE LIMITED,ORANGE ANANTAPUR WIND POWER PRIVATE LIMITED,1,50000000,847,7445512;6458726
U74899DL1995PTC064057,ORIENTAL SOUTH DELHI HOTELS PRIVATE LIMITED,ORIENTAL SOUTH DELHI HOTELS PVT LTD,ORIENTAL SOUTH DELHI HOTELS PRIVATE LIMITED,1,50000000,691,2039265
U40401KA2006PTC038820,SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,SHANKARANARAYANA CONSTRUCTIONS PVT,SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,1,50000000,813,5144485
AAF-9701,CASA MARIA PROPERTIES LLP,CASA MARIA PROPERTIES LLP,CASA MARIA PROPERTIES LLP,1,50000000,300,7905165
L07010KA1997PLC022322,PRESTIGE ESTATES PROJECTS LIMITED,PRESTIGE ESTATES PROJECTS LTD PREST,PRESTIGE ESTATES PROJECTS LIMITED,1,50000000,813,6188222
U40108UP2009PLC038148,LALITPUR POWER GENERATION COMPANY LIMITED,LALITPUR POWER GENERATION COMPANY LIMITED,LALITPUR POWER GENERATION COMPANY LIMITED,1,50000000,691,3428540
U45400TN2011PTC079207,EVERSHINE INTERIORS (CHENNAI) PRIVATE LIMITED,EVERSHINE INTERIORS CHENNAI PVT LTD,EVERSHINE INTERIORS (CHENNAI) PRIVATE LIMITED,1,50000000,800,7273126
L45200GJ1986PLC008717,JMC PROJECTS (INDIA) LIMITED,JMC PROJECTS INDIA LTD,JMC PROJECTS (INDIA) LIMITED,1,50000000,300,4180496
L45201GJ1995PLC098652,G R INFRAPROJECTS LIMITED,G R INFRAPROJECTS L,G R INFRAPROJECTS LIMITED,1,50000000,691,7516991
U40109DL1985PTC114839,NSL RENEWABLE POWER PRIVATE LIMITED,NSL RENEWABLE POWER PRIVATE LIMITED,NSL RENEWABLE POWER PRIVATE LIMITED,1,50000000,847,7445512
U40109MH2008PTC187793,FAMY ENERGY PRIVATE LIMITED,FAMY ENERGY PRIVATE LIMITED,FAMY ENERGY PRIVATE LIMITED,1,50000000,300,4180496
ACB-3663,BAIN GLOBAL RESOURCES LLP,BAIN GLOBAL RESOURCES LLP,BAIN GLOBAL RESOURCES LLP,1,50000000,847,6458726
U45209TG2010PTC066556,N A R INFRA PRIVATE LIMITED,N A R INFRA PRIVATE LIMITED,N A R INFRA PRIVATE LIMITED,1,50000000,847,7445512
U40109TG2020PTC139888,GREENKO MP01 IREP PRIVATE LIMITED,GREENKO MP01 IREP PRIVATE LIMITED,GREENKO MP01 IREP PRIVATE LIMITED,1,50000000,847,7445512
U40101MP2008PLC022066,MB POWER (MADHYA PRADESH) LIMITED,MB POWER (MADHYA PRADESH) LTD,MB POWER (MADHYA PRADESH) LIMITED,1,50000000,691,8212066
U37200WB2010PTC154999,PURULIA BOTTLING PRIVATE LIMITED,PURULIA BOTTLING PVT LTD,PURULIA BOTTLING PRIVATE LIMITED,1,50000000,1,5898161;6405134
U37109GJ1995PTC026235,AKSHAT GRANITES PVT LTD,AKSHAT GREENTECH PRIVATE LIMITED,AKSHAT GRANITES PVT LTD,1,50000000,847,6458726
U33309KA2018PTC109329,RCC NUTRA FILL PRIVATE LIMITED,RCC NUTRA FILL PRIVATE LIMITED,RCC NUTRA FILL PRIVATE LIMITED,1,50000000,813,6230164
U40108TG2010PTC071897,GREENKO RAYALA WIND POWER PRIVATE LIMITED,GREENKO RAYALA WIND POWER PRIVATE LIMITE D;GREENKO RAYALA WIND POWER PVT LTD,GREENKO RAYALA WIND POWER PRIVATE LIMITED,2,50000000,847,6458726;3898296
U45209TG2011PTC074883,GAJA ENGINEERING PRIVATE LIMITED,GAJA ENGINEERING PVT LTD,GAJA ENGINEERING PRIVATE LIMITED,1,50000000,847,7445512
U72100MH2006PTC160261,GENEXT HARDWARE & PARKS PRIVATE LIMITED,GENEXT HARDWARE PARKS PVT. LTD,GENEXT HARDWARE & PARKS PRIVATE LIMITED,1,50000000,300,6830668
U72900TG2002PTC039627,ILABS HYDERABAD TECHNOLOGY CENTRE PRIVATE LIMITED,ILABS HYD TECHNOLOGY CENTRE PVT LTD,ILABS HYDERABAD TECHNOLOGY CENTRE PRIVATE LIMITED,1,50000000,847,7445512
U67120KA1992PTC032470,SHANKAR RESOURCES PRIVATE LIMITED,SHANKARRESOURCESPVTLTD,SHANKAR RESOURCES PRIVATE LIMITED,1,50000000,300,4180496
U67120WB1995PTC074707,MANU VYAPAAR PRIVATE LIMITED,MANU VYAPAR (P) LTD.,MANU VYAPAAR PRIVATE LIMITED,1,50000000,1,5898161;5054982
AAQ-4352,RAJAPUSHPA ASSET MANAGEMENT LLP,RAJAPUSHPA ASSET MANAGEMENT LLP,RAJAPUSHPA ASSET MANAGEMENT LLP,1,50000000,847,3898296
U65910UP1994PLC017080,RENUKESHWAR INVESTMENTS AND FINANCE LIMITED,RENUKESHWAR INVESTMENTS PVT LTD,RENUKESHWAR INVESTMENTS AND FINANCE LIMITED,1,50000000,300,4180496
U24232TG2007PLC052901,TRIDENT CHEMPHAR LIMITED,TRIDENTCHEMPHARLIMITED,TRIDENT CHEMPHAR LIMITED,1,50000000,847,7450648
U23101MH2010PTC207754,SWAMI FUELS PRIVATE LIMITED,SWAMI FUELS PRIVATE LIMITED,SWAMI FUELS PRIVATE LIMITED,1,50000000,461,6756670
U55101KA1994PTC016245,VILLAGE DE NANDI PRIVATE LIMITED,VILLAGE DE NANDI PVT LTD RERA DESIG,VILLAGE DE NANDI PRIVATE LIMITED,1,50000000,813,6188222
AAI-8414,HEENA STEEL LLP,HEENA STEEL LLP,HEENA STEEL LLP,1,50000000,300,7905165
U24235KA2005PTC035491,BIOVET PRIVATE LIMITED,BIOVET PVT LTD,BIOVET PRIVATE LIMITED,1,50000000,813,6230164
AAH-6498,BRICKS INFRATECH LLP,BRICKS INFRATECH LLP,BRICKS INFRATECH LLP,1,50000000,847,3898296
U51909WB2007PTC117570,VEDIKA VANIJYA PRIVATE LIMITED,VEDIKA VANIJYA PVT LTD-SELF A/C,VEDIKA VANIJYA PRIVATE LIMITED,1,50000000,1,5898161
U24290TG2016PLC111946,HETERO BIOPHARMA LIMITED,HETERO BIOPHARMA LIMITED,HETERO BIOPHARMA LIMITED,1,50000000,847,6458726
U24230MH1997PTC111122,CHIRON BEHRING VACCINES PRIVATE LIMITED,CHIRON BEHRING VACCINES PVT LTD,CHIRON BEHRING VACCINES PRIVATE LIMITED,1,50000000,847,6458726
U15500TN2011PTC079223,FERTILELAND FOODS PRIVATE LIMITED,FERTILELAND FOODS PRIVATE LIMITED,FERTILELAND FOODS PRIVATE LIMITED,1,50000000,800,7273126
U64200DL2011PTC213734,ARIZONA GLOBALSERVICES PRIVATE LIMITED,ARIZONAGLOBALSERVICESPVTLTDBR,ARIZONA GLOBALSERVICES PRIVATE LIMITED,1,50000000,691,5972302
U63090ML2005PLC008011,STAR CEMENT MEGHALAYA LIMITED,STAR CEMENT MEGHALAYA LIMITED,STAR CEMENT MEGHALAYA LIMITED,1,50000000,1,5899230
U64202CH2007PTC030966,FASTWAY TRANSMISSIONS PRIVATE LIMITED,FASTWAY TRANSMISSIONS PVT LTD,FASTWAY TRANSMISSIONS PRIVATE LIMITED,1,50000000,628,7631030
U74999TG2016PLC110644,ACHINTYA SOLAR POWER LIMITED,ACHINTYA SOLAR POWER PRIVATE LIMITED;ACHINTYA SOLAR POWER PVT LTD,ACHINTYA SOLAR POWER LIMITED,2,50000000,847,6422705;3898296
U01120TG1953PLC001095,BIOLOGICAL E. LIMITED,BIOLOGICAL E LIMITED,BIOLOGICAL E. LIMITED,1,50000000,847,6458726
U63030TN2010PTC077406,FUTURISTIC HANDLING SERVICES PRIVATE LIMITED,FUTURISTIC HANDLING SERVICES PVT LTD,FUTURISTIC HANDLING SERVICES PRIVATE LIMITED,1,50000000,800,7910576
U67120WB1994PLC067002,SALASAR STOCK BROKING LIMITED,SALASAR STOCK BROKING LTD-PROPRIETARY,SALASAR STOCK BROKING LIMITED,1,50000000,1,6405134
U17100PB2005PLC028371,ASIAN TRADING CORPORATION LIMITED,ASIAN TRADING CORPORATION LIMITED,ASIAN TRADING CORPORATION LIMITED,1,50000000,628,5809436
U65910UP1994PLC017081,RENUKA INVESTMENTS AND FINANCE LIMITED,RENUKA INVESTMENTS AND FINANCE LTD,RENUKA INVESTMENTS AND FINANCE LIMITED,1,50000000,300,4180496
U10200WB1986PTC041629,THAKUR PRASAD SAO & SONS PVT LTD,THAKUR PRASAD SAO & SONS PVT LT,THAKUR PRASAD SAO & SONS PVT LTD,1,50000000,1,5899230
U51228WB1980PTC032966,VARAS INTERNATIONAL PVT LTD,VARAS INTERNATIONAL PVT LTD;M S VARAS INTERNATIONAL PVT LTD;VARAS INTERNATIONAL PRIVATE LIMITED,VARAS INTERNATIONAL PVT LTD,3,49500000,1,6405134;5899230;5898161;5054982;6405134;6405134
U67120WB1995PTC067709,LAUREL SECURITIES PVT. LTD.,LAURELSECURITIESPVTLTD,LAUREL SECURITIES PVT. LTD.,1,45000000,1,5898161;6405134
U45400DL2015PLC285970,ASHOKA HUNGUND TALIKOT ROAD LIMITED,ASHOKA HUNGUND TALIKOT ROAD LTD,ASHOKA HUNGUND TALIKOT ROAD LIMITED,1,45000000,300,1022034
U73200TG2004PLC042560,ASIAN AGRI GENETICS LIMITED,ASIAN AGRI GENETICS LIMITED,ASIAN AGRI GENETICS LIMITED,1,45000000,847,7445512
AAF-9676,CAPE TRADING LLP,CAPE TRADING LLP,CAPE TRADING LLP,1,45000000,300,7905165
U70102WB2009PTC132477,ARROW PROJECTS PRIVATE LIMITED,ARROW PROJECTS PVT LTD,ARROW PROJECTS PRIVATE LIMITED,1,45000000,1,5898161;5054982
AAF-9712,ANBEE CONSTRUCTIONS LLP,ANBEE CONSTRUCTIONS LLP,ANBEE CONSTRUCTIONS LLP,1,45000000,300,7905165
U74999PB2006PLC030716,LOTUS TEXPARK LIMITED,LOTUS TEXPARK LIMITED FORMERLY LOTUS INT EGRATED TEXPARK LTD,LOTUS TEXPARK LIMITED,1,45000000,628,5809207
U26932WB1987PLC091221,U M CABLES LIMITED,UM CABLES LIMITED,U M CABLES LIMITED,1,45000000,1,5899230
AAF-9753,RAGHUKOOL ESTATE DEVELOPEMENT LLP,RAGHUKOOL ESTATE DEVELOPMENT LLP,RAGHUKOOL ESTATE DEVELOPEMENT LLP,1,45000000,300,7905165
U70102MH2014PTC256093,OMKAR REALTORS PROJECTS PRIVATE LIMITED,OMKAR REALTORS PROJECTS PVT LTD,OMKAR REALTORS PROJECTS PRIVATE LIMITED,1,45000000,300,4180496
U26921GA1991PTC001168,VMSALGAOCAR CORPORATION PRIVATE LIMITED,V M SALGAOCAR CORPORATION PVT LTD,VMSALGAOCAR CORPORATION PRIVATE LIMITED,1,41500000,509,7315678
AAC-1446,ARVIND INFRACON LLP,ARVINDINFRACONLLP,ARVIND INFRACON LLP,1,40000000,1355,1023671
U15512BR1995PTC006667,K.D.LIQUOR & FERTILIZER PRIVATE LIMITED,M/S. K.D. LIQUOR FERTILIZER PRIVATE L;K D LIQUOR AND FERTILIZER PVT LTD,K.D.LIQUOR & FERTILIZER PRIVATE LIMITED,2,40000000,1,5054982;6405134
U40108TG2010PTC066976,TANOT WIND POWER VENTURES PRIVATE LIMITED,TANOT WIND POWER VENTURES PVT LTD,TANOT WIND POWER VENTURES PRIVATE LIMITED,1,40000000,847,3898296
AAL-1436,VERTEX VEGA DEVELOPERS LLP,VERTEX VEGA DEVELOPERS LLP,VERTEX VEGA DEVELOPERS LLP,1,40000000,847,7445512
U04540WB1984PTC037667,OM CREDIT PVT LTD,OM CREDIT PVT LTD,OM CREDIT PVT LTD,1,40000000,1,6405134;5899230
L26942TN1946PLC000931,THE INDIA CEMENTS LIMITED,THE INDIA CEMENTS LTD,THE INDIA CEMENTS LIMITED,1,40000000,800,7273126
U45203DL2015PLC285944,ASHOKA BAGEWADI SAUNDATTI ROAD LIMITED,ASHOKA BAGEWADI SAUNDATTI ROAD LIMITED,ASHOKA BAGEWADI SAUNDATTI ROAD LIMITED,1,40000000,300,1022034
U70103MH2012PTC231662,TAQUITO LEASE OPERATORS PRIVATE LIMITED,TAQUITO LEASE OPERATORS PVT. LTD,TAQUITO LEASE OPERATORS PRIVATE LIMITED,1,40000000,300,4180496
L24230MH1979PLC022059,AJANTA PHARMA LIMITED,AJANTA PHARMA LTD,AJANTA PHARMA LIMITED,1,40000000,300,7905165
U27108GA2004PTC003685,JAI GANESH ISPAT AND FERRO ALLOYS PRIVATE LIMITED,JAI GANESH ISPAT AND FERRO ALLOYS PVT LTD,JAI GANESH ISPAT AND FERRO ALLOYS PRIVATE LIMITED,1,40000000,509,7315678
U70102MH2013PTC239568,OMKAR VENTURES PRIVATE LIMITED,OMKAR VENTURES PVT LTD,OMKAR VENTURES PRIVATE LIMITED,1,40000000,300,4180496
U27310MH2007PLC194166,ARDENT STEEL LIMITED,ARDENT STEEL LIMITED,ARDENT STEEL LIMITED,1,40000000,41,4455428
U65999GJ2016PTC094758,PRB SECURITIES (IFSC) PRIVATE LIMITED,PRB SECURITIES PVT LTD,PRB SECURITIES (IFSC) PRIVATE LIMITED,1,40000000,1,6405134
U13100MH1961PLC012160,MSPL LIMITED,MSPL LTD,MSPL LIMITED,1,40000000,813,6188222;5144485
U45202MH2011PLC218236,EAGLE INFRA INDIA LIMITED,EAGLE INFRA INDIA LTD,EAGLE INFRA INDIA LIMITED,1,40000000,300,7905165
U24999MH1963PLC012625,INOX AIR PRODUCTS LIMITED,INOX AIR PRODUCTS LTD,INOX AIR PRODUCTS LIMITED,1,40000000,300,4180496
U85500TS2023PTC173477,TSHARKS OVERSEAS EDUCATION CONSULTANCY PRIVATE LIMITED,TSHARKS OVERSEAS EDUCATION CONSULTA,TSHARKS OVERSEAS EDUCATION CONSULTANCY PRIVATE LIMITED,1,40000000,847,6458726
U63090GA2001PTC002988,INFRASTRUCTURE LOGISTICS PRIVATE LIMITED,INFRASTRUCTURE LOGISTICS PVT LTD,INFRASTRUCTURE LOGISTICS PRIVATE LIMITED,1,40000000,509,7315678
U34300DL2012PTC236305,HANSVAHINI AUTO INTERIOR PRIVATE LIMITED,HANSVAHINI AUTO INTERIOR PVT LTD,HANSVAHINI AUTO INTERIOR PRIVATE LIMITED,1,40000000,691,5972302
U74910TG2011PTC072572,KVR BASELINE RESOURCES PRIVATE LIMITED,KVR BASELINE RESOURCES PRIVATE LIMI,KVR BASELINE RESOURCES PRIVATE LIMITED,1,40000000,847,3394387
U51109WB1997PTC083370,KEJRIWAL MIINIING PRIVATE LIMITED,KEJRIWAL MIINIING PRIVATE LIMITED,KEJRIWAL MIINIING PRIVATE LIMITED,1,40000000,1,5899230
L24111UR1983PLC009097,INDIA GLYCOLS LIMITED,INDIA GLYCOLS LTD,INDIA GLYCOLS LIMITED,1,39900000,691,3428540;3300196
U70101WB1995PTC074168,SILVERTONE SECURITIES PRIVATE LIMITED,SILVERTONE SECURITIES PVT LTD;SILVERTONE SECURITIES PRIVATE LIMIT,SILVERTONE SECURITIES PRIVATE LIMITED,2,35000000,1,5898161;6405134
U45203GJ2009PTC056560,RANJIT TOLL ROAD PRIVATE LIMITED,RANJIT TOLL ROAD PRIVATE LIMITED,RANJIT TOLL ROAD PRIVATE LIMITED,1,35000000,1355,1023671
L17111UP1974PLC003979,JINDAL POLY FILMS LIMITED,JINDAL POLY FILMS LIMITED,JINDAL POLY FILMS LIMITED,1,35000000,691,2039265;3300196
U68200TS2023PTC171381,TSHARKS INFRA DEVELOPERS PRIVATE LIMITED,TSHARKS INFRA DEVELOPERS PRIVATE LI,TSHARKS INFRA DEVELOPERS PRIVATE LIMITED,1,35000000,847,6458726
U92131TN2005PLC057987,SOUTH ASIA FM LIMITED,SOUTH ASIA FM LIMITED,SOUTH ASIA FM LIMITED,1,35000000,800,7273126
U47510TG2008PTC058454,R S BROTHERS RETAIL INDIA PRIVATE LIMITED,R.S.BROTHERS RETIAL INDIA PVT LTD;R.S.BROTHERS RETAIL INDIA PRIVATE LIMITE D,R S BROTHERS RETAIL INDIA PRIVATE LIMITED,2,35000000,847,3898296;6417329
U65923WB1986PTC040438,CROCHET TRADE AND INVESTMENT PVT LTD,CROCHET TRADE AND INVESTMENT PVT LT;CROCHET TRADE AND INVESTMENT PVT L,CROCHET TRADE AND INVESTMENT PVT LTD,2,35000000,1,5898161;6405134
U92131TN2005PLC057755,KAL RADIO LIMITED,KAL RADIO LIMITED,KAL RADIO LIMITED,1,35000000,800,7273126
U45200HR2008PTC037964,ST. PATRICKS REALTY PRIVATE LIMITED,ST PATRICKS REALTY PVT LTD,ST. PATRICKS REALTY PRIVATE LIMITED,1,30000000,691,3300196
U74140WB2004PTC100919,S.P.P.L. PROPERTY MANAGEMENT PRIVATE LIMITED,SPPL PROPERTY MANAGEMENT PVT LTD,S.P.P.L. PROPERTY MANAGEMENT PRIVATE LIMITED,1,30000000,813,3122247
U45201MH1994PLC082257,MAGARPATTA TOWNSHIP DEVELOPMENT AND CONSTRUCTION COMPANY LIMITED,MAGARPATTA TOWNSHIP DEV AND CONST C,MAGARPATTA TOWNSHIP DEVELOPMENT AND CONSTRUCTION COMPANY LIMITED,1,30000000,300,6830668
L24110TG1991PLC012471,GRANULES INDIA LIMITED,GRANULES INDIA LIMITED,GRANULES INDIA LIMITED,1,30000000,847,6458726
AAB-1965,VAMSIRAM DEVELOPERS LLP,VAMSIRAM DEVELOPERS LLP,VAMSIRAM DEVELOPERS LLP,1,30000000,847,7445512
U92100TN2010PTC076775,SUN DISTRIBUTION SERVICES PRIVATE LIMITED,SUN DISTRIBUTION SERVICES PVT LTD,SUN DISTRIBUTION SERVICES PRIVATE LIMITED,1,30000000,800,7273126
L25111KL1972PLC002449,APOLLO TYRES LIMITED.,APOLLO TYRES LIMITED,APOLLO TYRES LIMITED.,1,30000000,691,3300196
U65990MH1986PTC041752,LOUISIANA INVESTMENT & FINANCE PRIVATE LIMITED,LOUISIANA INVESTMENT FINANCE PVT,LOUISIANA INVESTMENT & FINANCE PRIVATE LIMITED,1,30000000,300,7905165
U67120DL1995PTC068088,PRASAD AND CO. PRIVATE LIMITED,PRASAD AND COMPANY PRIVATE LIMITED,PRASAD AND CO. PRIVATE LIMITED,1,30000000,847,6458726
U15520WB1988PLC045554,CHHATTISGARH DISTILLERIES LIMITED,CHHATTISGARH DISTILLERIES LIMITED,CHHATTISGARH DISTILLERIES LIMITED,1,30000000,461,5037964;5578876
U14101RJ2004PTC019798,WONDER MINERALS PRIVATE LIMITED,WONDER MINERALS PVT LTD.,WONDER MINERALS PRIVATE LIMITED,1,30000000,656,7024452
U74140WB1985PTC039548,RIGHT AID CONSULTANTS PVT LTD,RIGHT AID CONSULTANTS PVT LTD,RIGHT AID CONSULTANTS PVT LTD,1,30000000,1,5898161;6405134
U27100MH1995PTC087327,KRISHNA SHEET PROCESSORS PRIVATE LIMITED,KRISHNA SHEET PROCESSORS PVT LTD,KRISHNA SHEET PROCESSORS PRIVATE LIMITED,1,30000000,1355,5137969
