Category,State/UT,Offense_Category,Offense_Subcategory,Incidents
UT,Puducherry,Custodial,Member of Armed Forces,0
State,Andhra Pradesh,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Arunachal Pradesh,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Assam,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,11
State,Bihar,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Chhattisgarh,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Goa,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Gujarat,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Haryana,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Himachal Pradesh,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Jammu & Kashmir,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Jharkhand,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Karnataka,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Kerala,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Madhya Pradesh,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,1
State,Maharashtra,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Manipur,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Meghalaya,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Mizoram,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Nagaland,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Odisha,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Punjab,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Rajasthan,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Sikkim,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Tamil Nadu,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Telangana,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Tripura,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Uttar Pradesh,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,12
State,Uttarakhand,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,West Bengal,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
UT,Andaman & Nicobar Islands,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
UT,Chandigarh,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
UT,Dadra & Nagar Haveli,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
UT,Daman & Diu,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
UT,Delhi,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
UT,Lakshadweep,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
UT,Puducherry,Custodial,Management/Staff of Jail/Remand Home/Place of Custody,0
State,Andhra Pradesh,Custodial,Management/ Staff of Hospital,0
State,Arunachal Pradesh,Custodial,Management/ Staff of Hospital,0
State,Assam,Custodial,Management/ Staff of Hospital,0
State,Bihar,Custodial,Management/ Staff of Hospital,0
State,Chhattisgarh,Custodial,Management/ Staff of Hospital,0
State,Goa,Custodial,Management/ Staff of Hospital,1
State,Gujarat,Custodial,Management/ Staff of Hospital,0
State,Haryana,Custodial,Management/ Staff of Hospital,1
State,Himachal Pradesh,Custodial,Management/ Staff of Hospital,0
State,Jammu & Kashmir,Custodial,Management/ Staff of Hospital,0
State,Jharkhand,Custodial,Management/ Staff of Hospital,0
State,Karnataka,Custodial,Management/ Staff of Hospital,0
State,Kerala,Custodial,Management/ Staff of Hospital,0
State,Madhya Pradesh,Custodial,Management/ Staff of Hospital,1
State,Maharashtra,Custodial,Management/ Staff of Hospital,0
State,Manipur,Custodial,Management/ Staff of Hospital,0
State,Meghalaya,Custodial,Management/ Staff of Hospital,0
State,Mizoram,Custodial,Management/ Staff of Hospital,0
State,Nagaland,Custodial,Management/ Staff of Hospital,0
State,Odisha,Custodial,Management/ Staff of Hospital,0
State,Punjab,Custodial,Management/ Staff of Hospital,0
State,Rajasthan,Custodial,Management/ Staff of Hospital,0
State,Sikkim,Custodial,Management/ Staff of Hospital,0
State,Tamil Nadu,Custodial,Management/ Staff of Hospital,0
State,Telangana,Custodial,Management/ Staff of Hospital,1
State,Tripura,Custodial,Management/ Staff of Hospital,0
State,Uttar Pradesh,Custodial,Management/ Staff of Hospital,0
State,Uttarakhand,Custodial,Management/ Staff of Hospital,0
State,West Bengal,Custodial,Management/ Staff of Hospital,0
UT,Andaman & Nicobar Islands,Custodial,Management/ Staff of Hospital,0
UT,Chandigarh,Custodial,Management/ Staff of Hospital,0
UT,Dadra & Nagar Haveli,Custodial,Management/ Staff of Hospital,0
UT,Daman & Diu,Custodial,Management/ Staff of Hospital,0
UT,Delhi,Custodial,Management/ Staff of Hospital,0
UT,Lakshadweep,Custodial,Management/ Staff of Hospital,0
UT,Puducherry,Custodial,Management/ Staff of Hospital,0
State,Andhra Pradesh,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,17
State,Arunachal Pradesh,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,4
State,Assam,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,31
State,Bihar,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,16
State,Chhattisgarh,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,267
State,Goa,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,6
State,Gujarat,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,14
State,Haryana,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,11
State,Himachal Pradesh,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,26
State,Jammu & Kashmir,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,46
State,Jharkhand,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,0
State,Karnataka,Non-Custodial,Relative/Guardian/Teacher/person in position of trust,8
