Year,State_UT,State_UT_Raw,Row_Type,Crime_Head_Standardized,Crime_Head_Raw,Is_Detailed_Subcategory,Count
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,False,7.0
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,False,4.0
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Dowry Deaths,DOWRY DEATH,False,0.0
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,False,0.0
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,False,0.0
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,False,0.0
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,False,2.0
2001,"Dadra & Nagar Haveli (pre-2020, separate UT)",D&N Haveli,State/UT,Rape,RAPE,False,6.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,False,0.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,False,4.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Dowry Deaths,DOWRY DEATH,False,0.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,False,3.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,False,0.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,False,0.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,False,3.0
2001,"Daman & Diu (pre-2020, separate UT)",Daman & Diu,State/UT,Rape,RAPE,False,0.0
2001,Delhi,Delhi UT,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,False,502.0
2001,Delhi,Delhi UT,State/UT,Cruelty by Husband or Relatives,CRUELTY BY HUSBAND OR RELATIVES,False,138.0
2001,Delhi,Delhi UT,State/UT,Dowry Deaths,DOWRY DEATH,False,113.0
2001,Delhi,Delhi UT,State/UT,Immoral Traffic (Prevention) Act,IMMORAL TRAFFIC(PREVENTION)ACT,False,95.0
2001,Delhi,Delhi UT,State/UT,Indecent Representation of Women (Prevention) Act,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,False,1.0
2001,Delhi,Delhi UT,State/UT,Insult to Modesty of Women,INSULT TO THE MODESTY OF WOMEN,False,90.0
2001,Delhi,Delhi UT,State/UT,Kidnapping & Abduction of Women,KIDNAPPING & ABDUCTION,False,964.0
2001,Delhi,Delhi UT,State/UT,Rape,RAPE,False,381.0
2001,Goa,Goa,State/UT,Assault on Women with Intent to Outrage Modesty,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,False,17.0
