Year,State_UT,Is_Detailed_Subcategory,Count,Crime_Head_Standardized,Crime_Head_Subcategory
2001,Madhya Pradesh,False,609.0,Cruelty & Dowry Offenses,Dowry Death
2001,Madhya Pradesh,False,15.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Madhya Pradesh,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Madhya Pradesh,False,751.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Madhya Pradesh,False,668.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Madhya Pradesh,False,2851.0,Rape & Attempted Rape,Rape (General/Other)
2001,Maharashtra,False,2823.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Maharashtra,False,6090.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Maharashtra,False,308.0,Cruelty & Dowry Offenses,Dowry Death
2001,Maharashtra,False,233.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Maharashtra,False,9.0,Special & Local Laws,Indecent Representation of Women Act
2001,Maharashtra,False,1120.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Maharashtra,False,611.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Maharashtra,False,1302.0,Rape & Attempted Rape,Rape (General/Other)
2001,Manipur,False,21.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Manipur,False,5.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Manipur,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,Manipur,False,4.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Manipur,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Manipur,False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Manipur,False,62.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Manipur,False,20.0,Rape & Attempted Rape,Rape (General/Other)
2001,Meghalaya,False,25.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Meghalaya,False,4.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Meghalaya,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,Meghalaya,False,0.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Meghalaya,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Meghalaya,False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Meghalaya,False,11.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Meghalaya,False,26.0,Rape & Attempted Rape,Rape (General/Other)
2001,Mizoram,False,52.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Mizoram,False,16.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Mizoram,False,0.0,Cruelty & Dowry Offenses,Dowry Death
2001,Mizoram,False,2.0,Human Trafficking,Immoral Traffic (Prevention) Act
2001,Mizoram,False,0.0,Special & Local Laws,Indecent Representation of Women Act
2001,Mizoram,False,0.0,Assault & Sexual Harassment,Insult to Modesty of Women
2001,Mizoram,False,1.0,Kidnapping & Abduction,Kidnapping & Abduction (General)
2001,Mizoram,False,52.0,Rape & Attempted Rape,Rape (General/Other)
2001,Nagaland,False,6.0,Assault & Sexual Harassment,Assault to Outrage Modesty
2001,Nagaland,False,0.0,Cruelty & Dowry Offenses,Cruelty by Husband/Relatives
2001,Nagaland,False,0.0,Cruelty & Dowry Offenses,Dowry Death
