city,Crime,person_count,Arrested_Gender
Mumbai,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Nagpur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Nasik,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Patna,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Prayagraj,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Pune,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Raipur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Rajkot,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Ranchi,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Srinagar,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Surat,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Thiruvananthapuram,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Thrissur,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Tiruchirapalli,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Vadodara,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Varanasi,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Vasai Virar,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Vijayawada,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Vishakhapatnam,Persons Arrested out of Cases Registered from Previous Years,0,Transgender
Agra,Persons Arrested in Cases Registered during the year,472,Male
Ahmedabad,Persons Arrested in Cases Registered during the year,1174,Male
Amritsar,Persons Arrested in Cases Registered during the year,164,Male
Asansol,Persons Arrested in Cases Registered during the year,685,Male
Aurangabad,Persons Arrested in Cases Registered during the year,285,Male
Bengaluru,Persons Arrested in Cases Registered during the year,4262,Male
Bhopal,Persons Arrested in Cases Registered during the year,711,Male
Chandigarh City,Persons Arrested in Cases Registered during the year,194,Male
Chennai,Persons Arrested in Cases Registered during the year,670,Male
Coimbatore,Persons Arrested in Cases Registered during the year,261,Male
Delhi City,Persons Arrested in Cases Registered during the year,9766,Male
Dhanbad,Persons Arrested in Cases Registered during the year,115,Male
Durg-Bhilainagar,Persons Arrested in Cases Registered during the year,434,Male
Faridabad,Persons Arrested in Cases Registered during the year,780,Male
Ghaziabad,Persons Arrested in Cases Registered during the year,676,Male
Gwalior,Persons Arrested in Cases Registered during the year,431,Male
Hyderabad,Persons Arrested in Cases Registered during the year,571,Male
Indore,Persons Arrested in Cases Registered during the year,609,Male
Jabalpur,Persons Arrested in Cases Registered during the year,248,Male
Jaipur,Persons Arrested in Cases Registered during the year,2028,Male
Jamshedpur,Persons Arrested in Cases Registered during the year,290,Male
Jodhpur,Persons Arrested in Cases Registered during the year,793,Male
Kannur,Persons Arrested in Cases Registered during the year,474,Male
Kanpur,Persons Arrested in Cases Registered during the year,3271,Male
Kochi,Persons Arrested in Cases Registered during the year,496,Male
Kolkata,Persons Arrested in Cases Registered during the year,1237,Male
Kollam,Persons Arrested in Cases Registered during the year,677,Male
Kota,Persons Arrested in Cases Registered during the year,366,Male
Kozhikode,Persons Arrested in Cases Registered during the year,486,Male
Lucknow,Persons Arrested in Cases Registered during the year,644,Male
Ludhiana,Persons Arrested in Cases Registered during the year,499,Male
Madurai,Persons Arrested in Cases Registered during the year,355,Male
Malappuram,Persons Arrested in Cases Registered during the year,208,Male
Meerut,Persons Arrested in Cases Registered during the year,1394,Male
Mumbai,Persons Arrested in Cases Registered during the year,4215,Male
Nagpur,Persons Arrested in Cases Registered during the year,899,Male
Nasik,Persons Arrested in Cases Registered during the year,308,Male
Patna,Persons Arrested in Cases Registered during the year,691,Male
Prayagraj,Persons Arrested in Cases Registered during the year,971,Male
Pune,Persons Arrested in Cases Registered during the year,1653,Male
Raipur,Persons Arrested in Cases Registered during the year,640,Male
Rajkot,Persons Arrested in Cases Registered during the year,232,Male
Ranchi,Persons Arrested in Cases Registered during the year,211,Male
Srinagar,Persons Arrested in Cases Registered during the year,418,Male
Surat,Persons Arrested in Cases Registered during the year,1416,Male
Thiruvananthapuram,Persons Arrested in Cases Registered during the year,584,Male
Thrissur,Persons Arrested in Cases Registered during the year,312,Male
Tiruchirapalli,Persons Arrested in Cases Registered during the year,228,Male
Vadodara,Persons Arrested in Cases Registered during the year,408,Male
Varanasi,Persons Arrested in Cases Registered during the year,1352,Male
Vasai Virar,Persons Arrested in Cases Registered during the year,678,Male
Vijayawada,Persons Arrested in Cases Registered during the year,194,Male
Vishakhapatnam,Persons Arrested in Cases Registered during the year,140,Male
Agra,Persons Arrested in Cases Registered during the year,0,Female
