"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"Pinaki Misra","Elected","18-May-09","In office","Orissa","Puri","Biju Janata Dal","Male","Graduate","B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University","54","17","0","19","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,2.9e+08,6500000
"Poonamben Veljibhai Jat","Elected","18-May-09","In office","Gujarat","Kachchh","Bharatiya Janata Party","Female","Inter/ Higher Secondary","Educated at Somaiya College, Mumbai","42","33","0","102","82%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",1,485750,38376
"Prabha Kishore Taviad","Elected","18-May-09","In office","Gujarat","Dahod","Indian National Congress","Female","Post Graduate","M.D., D.G.O.; Educated at B.J. Medical College, Ahmedabad, Gujarat","59","26","0","4","94%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,5550000,1832047
"Prabhakar Ponnam","Elected","18-May-09","In office","Andhra Pradesh","Karimnagar","Indian National Congress","Male","Post Graduate","M.A., LL.B.; Educated at Osmania University, Hyderabad, Andhra Pradesh","46","67","0","935","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,NA,1287000
"Prabhatsinh Pratapsinh Chauhan","Elected","18-May-09","In office","Gujarat","Panchmahal","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat","72","1","0","145","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",1,3820000,1189000
"Prabodh Panda","Elected","18-May-09","In office","West Bengal","Medinipur","Communist Party of India","Male","Graduate","B.A.; Educated at Dantan Bhattar College, Calcutta University, Dantan (West Bengal) ","68","148","1","585","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1763445,1007301
"Pradeep Kumar Majhi","Elected","18-May-09","In office","Orissa","Nabarangpur","Indian National Congress","Male","Graduate","B.A. (Eco), Advanced diploma in Computer Application, e-commerce; Educated at Panabeda High School Chandahandi, B.J.B. College BBSR, V.D. College Jeypone and NIIT Connought Place, New Delhi","38","9","0","1101","54%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,1,970000
"Pradeep Kumar Singh","Elected","18-May-09","In office","Bihar","Araria","Bharatiya Janata Party","Male","Matric","Bihar School Examination Board, Patna","49","6","0","166","71%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,1e+05,157014
"Pradeep Tamta","Elected","18-May-09","In office","Uttarakhand","Almora","Indian National Congress","Male","Post Graduate","M.A, LL.B and B.Ed.; Educated at Kumaon University, Nainital, Uttarakhand","55","13","3","2","96%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","53","4.6","112","79%",0,205000,410000
"Pralhad Venkatesh Joshi","Elected","18-May-09","In office","Karnataka","Dharwad","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at K.S. Arts College, Hubli","51","69","0","632","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,4492935,3045404
"Prasanna Kumar Patasani","Elected","18-May-09","In office","Orissa","Bhubaneswar","Biju Janata Dal","Male","Doctorate","M.A., LL.B., MSCI, Ph.D. (Honorary), D. Litt. (Utkal), D.Sc. (Swiss); Educated at Utkal University, Bhubaneswar (Orissa), Madhusudan Law College, Cuttack (Orissa), Maharshi Institute of Creative Intelligence, Rishikesh (Uttar Pradesh), Sheelsburg (Switzer","67","58","0","139","82%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,1225000,252178
"Prasanta Kumar Majumdar","Elected","18-May-09","In office","West Bengal","Balurghat","Revolutionary Socialist Party","Male","Post Graduate","M.A. (Economics); Educated at Guwahati University, Assam","73","138","2","468","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1544287,1179585
"Praveen Singh Aron","Elected","18-May-09","In office","Uttar Pradesh","Bareilly","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Rohilkhand Vishwa Vidyalay and Rohilkhand University, Bareilly, Uttar Pradesh","54","6","0","12","66%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,NA,24400000
"Prem Das Rai","Elected","18-May-09","In office","Sikkim","Sikkim","Sikkim Democratic Front","Male","Graduate","B.Tech. (Chemical) and P.G.D.M.; Educated at IIT, Kanpur and IIM Ahmedabad, Gujarat","59","70","1","180","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","70","1","180","87%",0,13400000,5245191
"Premchandra Guddu","Elected","18-May-09","In office","Madhya Pradesh","Ujjain","Indian National Congress","Male","Inter/ Higher Secondary","","53","21","0","257","79%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",1,99200000,6534400
"Premdas Katheria","Elected","18-May-09","In office","Uttar Pradesh","Etawah","Samajwadi Party","Male","Graduate","B.Ed.; Educated at Kanpur University, Kanpur","49","54","0","156","92%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,3655000,823828
"Priya Sunil Dutt","Elected","18-May-09","In office","Maharashtra","Mumbai-North-Central","Indian National Congress","Female","Post Graduate","B.A.. (Sociology) Post-Grauduate (TV Production); Educated at Sophia College, Bombay University, Mumbai (Maharashtra) and Centre for Media Arts, New York City (U.S.A.) ","47","14","3","161","58%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,3.18e+08,5.3e+07
"Pulin Bihari Baske","Elected","18-May-09","In office","West Bengal","Jhargram","Communist Party of India (Marxist)","Male","Graduate","M.B.B.S.; Educated at Kolkata Medical College, West Bengal","45","42","0","84","92%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,750000,829298
"Purnmasi Ram","Elected","18-May-09","In office","Bihar","Gopalganj","Janata Dal (United)","Male","Matric","Educated at Hindi Vidyapeeth Deoghar","64","25","0","656","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,18700000,1656856
"R. Thamaraiselvan","Elected","18-May-09","In office","Tamil Nadu","Dharmapuri","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L.; Educated at (i) Govt. Arts College, Dharmapuri and (ii) Govt. Law College, Trichy","50","112","3","740","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,2495808,NA
"R.K. Singh Patel","Elected","18-May-09","In office","Uttar Pradesh","Banda","Samajwadi Party","Male","Graduate","B.A.; Educated at University of Allahabad, Uttar Pradesh","54","45","0","198","81%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,NA,13100000
"Radha Mohan Singh","Elected","18-May-09","In office","Bihar","Purvi Champaran","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar","64","43","0","560","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,5625960,2207364
"Radhe Mohan Singh","Elected","18-May-09","In office","Uttar Pradesh","Ghazipur","Samajwadi Party","Male","Graduate","B.A. (Hons.), History; Educated at Lalit Narayan Mithila University, Darbhanga","46","17","0","162","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,15900000,13700000
"Raghavendra Yeddyurappa","Elected","18-May-09","In office","Karnataka","Shimoga","Bharatiya Janata Party","Male","Graduate","B.B.M.; Educated at A.T.N.C.C., Shivamogga, Karnataka","40","2","0","128","50%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,62500000,3299093
"Raghuvansh Prasad Singh","Elected","18-May-09","In office","Bihar","Vaishali","Rashtriya Janata Dal","Male","Doctorate","M.Sc., Ph.D. (Maths); Educated at Rajendra College, L.S. College and Bihar University, Muzaffarpur (Bihar) ","67","179","5","508","97%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,4869200,1165038
"Raghuvir Singh Meena","Elected","18-May-09","In office","Rajasthan","Udaipur","Indian National Congress","Male","Graduate","B.A.; Educated at Vardhman Mahavir Vishvavidhalaya, Rajasthan","55","12","0","125","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,5900000,1273882
"Raj Kumari Chauhan","Elected","18-May-09","In office","Uttar Pradesh","Aligarh","Bahujan Samaj Party","Female","Inter/ Higher Secondary","Educated at Janta Inter College, Chlerat, Aligarh, U.P.","45","1","0","22","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,28700000,6938506
"Raja Ram Pal","Elected","18-May-09","In office","Uttar Pradesh","Akbarpur","Indian National Congress","Male","Graduate","B.A., LL.B; Educated at D.A.V. College, Kanpur (Uttar Pradesh) ","53","54","0","0","91%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,2200000,400200
"Rajaiah Siricilla","Elected","18-May-09","In office","Andhra Pradesh","Warangal","Indian National Congress","Male","Graduate","B.Sc. (Agriculture); Educated at Acharya N.G. Ranga Agricultural University, Hyderabad, Andhra Pradesh","60","40","0","806","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,3702734,675000
"Rajan Sushant","Elected","18-May-09","In office","Himachal Pradesh","Kangra","Bharatiya Janata Party","Male","Doctorate","GAMS, B.A., LL.B.; Dayanand Ayurvedic College Jalandhar (Punjab), H.P. University, Shimla and P.B. University, Chandigarh","58","70","1","54","90%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","86.3","0.6","337","92%",0,3634000,2268584
"Rajen Gohain","Elected","18-May-09","In office","Assam","Nawgong","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.; Educated at Anandaram Dhekial Phukan College, Nagaon and Jalukbari, Gauhati University, Guwahati (Assam) ","63","8","0","87","53%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","22.1","0.5","83","80%",0,4861400,5379491
"Rajendra Agrawal","Elected","18-May-09","In office","Uttar Pradesh","Meerut","Bharatiya Janata Party","Male","Post Graduate","M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad","64","172","2","366","99%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,NA,2370691
"Rajendrasinh Ghanshyamsinh Rana (Raju Rana)","Elected","18-May-09","In office","Gujarat","Bhavnagar","Bharatiya Janata Party","Male","Graduate","B.Com., LL.B.; Educated at Saurashtra University, Bhavnagar (Gujarat) ","57","2","0","32","79%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,3e+06,2444040
"Rajesh Nandini Singh","Elected","18-May-09","In office","Madhya Pradesh","Shahdol","Indian National Congress","Female","Graduate","B.Sc.; Educated from Ravi Shankar Vishwa Vidhayalaya,; Raipur, Chhattisgarh","56","1","0","1","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,5200000,3645000
"Rajiv Ranjan (Lalan) Singh","Elected","18-May-09","In office","Bihar","Munger","Janata Dal (United)","Male","Graduate","B.A. (Hons.); Educated at T.N.B. College, Bhagalpur University, Bihar","59","12","0","579","93%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,NA,87599
"Rajnath Singh","Elected","18-May-09","In office","Uttar Pradesh","Ghaziabad","Bharatiya Janata Party","Male","Post Graduate","M.Sc. (Physics); Educated at Gorakhpur University, Uttar Pradesh","62","14","0","33","77%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,1e+07,4880703
"Raju Shetti","Elected","18-May-09","In office","Maharashtra","Hatkanangle","Swabhimani Paksha","Male","Diploma Course","D.M.E.; Educated at J. J. Magdum Polytechnic, Jaysingpur, Distt. Kolhapur, Maharashtra","46","43","1","324","74%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,780000,2113940
"Rakesh Pandey","Elected","18-May-09","In office","Uttar Pradesh","Ambedkar Nagar","Bahujan Samaj Party","Male","Matric","","61","11","0","20","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,NA,1.28e+08
"Rakesh Sachan","Elected","18-May-09","In office","Uttar Pradesh","Fatehpur","Samajwadi Party","Male","Post Graduate","M.A. (Economics), LL.B; Educated at Kanpur University","49","50","0","34","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,34400000,1.5e+07
"Rakesh Singh","Elected","18-May-09","In office","Madhya Pradesh","Jabalpur","Bharatiya Janata Party","Male","Graduate","B.Sc.; Educated at Government Science College, Jabalpur","51","53","4","432","77%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,6413500,3335599
"Ram Chandra Dome","Elected","18-May-09","In office","West Bengal","Bolpur","Communist Party of India (Marxist)","Male","Graduate","M.B.B.S.; Educated at N.R.S. Medical College and Hospital, Calcutta, West Bengal","55","54","0","80","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,5e+05,439396
"Ram Singh Kaswan","Elected","18-May-09","In office","Rajasthan","Churu","Bharatiya Janata Party","Male","Graduate","B.A., LL.B.; Educated at Doonger College, Bikaner and Rajasthan University, Jaipur, Rajasthan","68","76","0","327","93%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,23700000,3858761
"Ram Sundar Das","Elected","18-May-09","In office","Bihar","Hajipur","Janata Dal (United)","Male","Matric","Educated at S.P.S., Sonpur, Distt. Saran, Bihar and Vidyasagar College, Calcutta (left College to join Freedoom Movement) ","93","0","0","407","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,2355798,12300000
"Rama Devi","Elected","18-May-09","In office","Bihar","Sheohar","Bharatiya Janata Party","Female","Graduate","B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali","64","84","0","627","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",1,56900000,13900000
"Ramashankar Rajbhar","Elected","18-May-09","In office","Uttar Pradesh","Salempur","Bahujan Samaj Party","Male","Graduate","Educated at Gorakhpur University, Gorakhpur (Uttar Pradesh) ","54","80","0","227","95%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,1,358000
"Ramen Deka","Elected","18-May-09","In office","Assam","Mangaldoi","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at Pragjyotish College under Guwahati University","59","62","2","178","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","22.1","0.5","83","80%",0,5670000,1619049
"Ramesh Bais","Elected","18-May-09","In office","Chhattisgarh","Raipur","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at B.S.E., Bhopal, Madhya Pradesh","66","11","0","297","92%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.6","0.5","183","60%",0,18400000,4092079
"Ramesh Chandappa Jigajinagi","Elected","18-May-09","In office","Karnataka","Bijapur","Bharatiya Janata Party","Male","Post Graduate","M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka","61","0","0","20","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,NA,1899725
"Ramesh Kumar","Elected","18-May-09","In office","Delhi","South Delhi","Indian National Congress","Male","Matric","","58","0","0","0","100%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","32","5.6","296","84%",0,45500000,1345997
"Ramesh Rathod","Elected","18-May-09","In office","Andhra Pradesh","Adilabad","Telugu Desam Party","Male","Graduate","B.A.; Educated at Govt. Degree College, Adilabad","47","10","0","290","52%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",1,2345000,1465000
"Ramkishun","Elected","18-May-09","In office","Uttar Pradesh","Chandauli","Samajwadi Party","Male","Graduate","B.A., B.Ed. and Post Graduate Diploma in Marketing and Finance","57","117","0","490","82%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,3920821,751963
"Ramshankar","Elected","18-May-09","In office","Uttar Pradesh","Agra","Bharatiya Janata Party","Male","Doctorate","M.A., Ph.D.; Educated at Kanpur University, Uttar Pradesh","49","62","1","235","73%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,3e+05,1238200
"Ramsinhbhai Patalyabhai Rathwa","Elected","18-May-09","In office","Gujarat","Chhota Udaipur","Bharatiya Janata Party","Male","Post Diploma Course","S.S.C., Diploma in Painting, Post-Diploma in Graphic, short-term training course in Museology; Educated at Kawant English School, Chhota Udaipur, Faculty of Fine Arts, M.S. University, Baroda (Gujarat) and National Museum, New Delhi","62","31","0","763","74%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,9411925,2344523
"Ranjan Prasad Yadav","Elected","18-May-09","In office","Bihar","Pataliputra","Janata Dal (United)","Male","Doctorate","M.Sc. (Geology), Ph.D.; Educated at Science College, Patna University, Bihar","68","13","2","484","85%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,7372000,7283000
"Raosaheb Patil Danve","Elected","18-May-09","In office","Maharashtra","Jalna","Bharatiya Janata Party","Male","Under Graduate","Educated at J.E.S., Jalna, Maharashtra","58","27","0","291","62%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,NA,NA
"Ratan Singh","Elected","18-May-09","In office","Rajasthan","Bharatpur","Indian National Congress","Male","Graduate","B.E. (Mechanical); M.B.M. Engineering College, Jodhpur (University of Jodhpur) ","67","65","0","286","97%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,6600000,5041747
"Ratna De","Elected","18-May-09","In office","West Bengal","Hooghly","All India Trinamool Congress","Female","Post Graduate","M.B.B.S., D.C.H.; Educated at R.G. Kar Medical College & Institute of Child Health, Calcutta University","65","100","0","174","83%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1570000,7505446
"Ratna Singh","Elected","18-May-09","In office","Uttar Pradesh","Pratapgarh","Indian National Congress","Female","Graduate","B. Com.; Educated at Jesus and Mary College, University of Delhi (Delhi) ","54","37","0","677","86%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,55400000,1585604
"Rattan Singh Ajnala","Elected","18-May-09","In office","Punjab","Khadoor Sahib","Shiromani Akali Dal","Male","Graduate","M.B.B.S.; Educated at Medical College, Amritsar, Punjab","70","41","1","162","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Ravindra Kumar Pandey","Elected","18-May-09","In office","Jharkhand","Giridih","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at K.V. College (Ranchi University), Kathara (Bihar) ","55","161","0","599","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","38.8","0.8","251","66%",0,NA,NA
"Ravneet Singh","Elected","18-May-09","In office","Punjab","Anandpur Sahib","Indian National Congress","Male","Graduate","B.C.A., Educated at Guru Nanak Public School, Chandigarh and Eastern Institute for Integrated Learning in Management University, Sikkim","38","18","0","453","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","23.8","0.7","170","78%",0,NA,NA
"Rewati Raman Singh","Elected","18-May-09","In office","Uttar Pradesh","Allahabad","Samajwadi Party","Male","Graduate","B.A., LL.B.","70","56","0","217","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,NA,3873892
"Rudramadhab Ray","Elected","18-May-09","In office","Orissa","Kandhamal","Biju Janata Dal","Male","Graduate","B.Sc.; Educated at Ravenshaw College, Cuttack, Orissa","76","44","0","834","73%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,3120000,1267647
"S. Alagiri","Elected","18-May-09","In office","Tamil Nadu","Cuddalore","Indian National Congress","Male","Graduate","B.A.; Educated at Annamalai University, Tamil Nadu","61","25","0","583","68%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,NA
"S. Pakkirappa","Elected","18-May-09","In office","Karnataka","Raichur","Bharatiya Janata Party","Male","Under Matric","","55","4","0","798","67%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,5085510,2750720
"S. R. Jeyadurai","Elected","18-May-09","In office","Tamil Nadu","Thoothukkudi","Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., PGDYN; Educated at Pope's College, Sawyerpuram, Thoothukudi","44","12","0","681","59%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,17100000,1.4e+07
"S. Semmalai","Elected","18-May-09","In office","Tamil Nadu","Salem","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.Sc., B.L.; Educated at Alagappa College, Pushpam College and Madras Law College","68","127","4","558","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",1,NA,7541513
"S.P.Y. Reddy","Elected","18-May-09","In office","Andhra Pradesh","Nandyal","Indian National Congress","Male","Graduate","B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ","63","3","0","2","46%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,14900000,69900000
"S.S. Ramasubbu","Elected","18-May-09","In office","Tamil Nadu","Tirunelveli","Indian National Congress","Male","Post Graduate","M.A. (Economics), J.C.I.I.B. (Banking); Educated at Madurai Kamaraj University and Indian Institute of Bankers","64","171","2","1063","97%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,16800000,23400000
"Sabbam Hari","Elected","18-May-09","In office","Andhra Pradesh","Anakapalli","Indian National Congress","Male","Graduate","B.Com.; Educated at A.V.N. College","61","0","0","0","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,8.3e+07,4159572
"Sadashivrao Dadoba Mandlik","Elected","18-May-09","In office","Maharashtra","Kolhapur","Independent","Male","Graduate","B.A. (Hons.) English; Educated at University of Poona, Pune, Maharashtra","79","8","0","72","50%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,11100000,2.96e+08
"Sajjan Singh Verma","Elected","18-May-09","In office","Madhya Pradesh","Dewas","Indian National Congress","Male","Post Graduate","M.A. (Sociology); Educated at G.A.C.C. Indore, Madhya Pradesh","60","64","0","434","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,20500000,6270225
"Sakti Mohan Malik","Elected","18-May-09","In office","West Bengal","Arambagh","Communist Party of India (Marxist)","Male","Post Graduate","M.A., B.Ed. (Bengali and Political Science); Educated at Burdwan University, West Bengal","54","7","0","28","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,2046460,373849
"Sambasiva Rayapati Rao","Elected","18-May-09","In office","Andhra Pradesh","Guntur","Indian National Congress","Male","Graduate","B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh","70","14","0","690","61%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","20.3","0.4","339","68%",0,66300000,2.55e+08
"Sameer Magan Bhujbal","Elected","18-May-09","In office","Maharashtra","Nashik","Nationalist Congress Party","Male","Matric","Educated at St. Mary`s Convent High School","40","15","0","346","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",0,46600000,2e+07
"Sandeep Dikshit","Elected","18-May-09","In office","Delhi","East Delhi","Indian National Congress","Male","Post Graduate","M.A., P.G. Diploma in Rural Development; Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand, Gujarat","49","16","0","2","91%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","32","5.6","296","84%",0,12300000,5444728
"Sanjay Bhoi","Elected","18-May-09","In office","Orissa","Bargarh","Indian National Congress","Male","Graduate","B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University","39","4","0","421","88%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",0,1400000,3e+05
