"MP.name","Nature.of.membership","Start.of.term","End.of.term","State","Constituency","Political.party","Gender","Educational.qualifications","Educational.qualifications...details","Age","Debates","Private.Member.Bills","Questions","Attendance","Notes","National.Debates.average","National.Private.Member.Bills.average","National.Questions.average","National.Attendance.average","State.s.Debates.average","State.s.Private.Member.Bills..average","State.s.Questions.average","State.s.Attendance.average","Serious_CrimCase","Immoveable","Moveable"
"K. P. Dhanapalan","Elected","18-May-09","In office","Kerala","Chalakudy","Indian National Congress","Male","Graduate","B.Sc. (Chemistry); Educated at U.C. College, Aluva","63","69","0","493","100%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","69.4","1.5","416","79%",0,2750000,164364
"K. Sugumar","Elected","18-May-09","In office","Tamil Nadu","Pollachi","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.Com.; Educated at P.S.G. College of Arts & Science, Coimbatore","53","41","0","651","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","47.2","0.4","398","69%",0,NA,NA
"K.C. Singh Baba","Elected","18-May-09","In office","Uttarakhand","Nainital-Udhamsingh Nagar","Indian National Congress","Male","Inter/ Higher Secondary","Senior Cambridge; Educated at St. Joseph`s College, Nainital, Uttarakhand","66","19","6","254","59%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","53","4.6","112","79%",0,NA,NA
"Kabindra Purkayastha","Elected","18-May-09","In office","Assam","Silchar","Bharatiya Janata Party","Male","Post Graduate","M.A., B.T.; Educated at Gauhati University, Gauhati (Assam) ","82","34","1","130","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","22.1","0.5","83","80%",0,NA,47025
"Kabir Suman","Elected","18-May-09","In office","West Bengal","Jadavpur","All India Trinamool Congress","Male","Graduate","B.A. (Hons.) English Literature; Educated at Jadav University, Kolkata","63","3","0","0","31%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,2648381,621441
"Kadir Rana","Elected","18-May-09","In office","Uttar Pradesh","Muzaffarnagar","Bahujan Samaj Party","Male","Under Matric","","52","1","0","111","57%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,30700000,20800000
"Kailash Joshi","Elected","18-May-09","In office","Madhya Pradesh","Bhopal","Bharatiya Janata Party","Male","Matric","","84","4","0","73","84%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","46.6","0.4","233","82%",0,2800000,3085924
"Kaisar Jahan","Elected","18-May-09","In office","Uttar Pradesh","Sitapur","Bahujan Samaj Party","Female","Under Matric","Privately Educated","44","7","0","33","62%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,2188000,4365956
"Kakoli Ghosh Dastidar","Elected","18-May-09","In office","West Bengal","Barasat","All India Trinamool Congress","Female","Post Graduate","M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London","54","25","1","13","67%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,NA,NA
"Kalikesh Narayan Singh Deo","Elected","18-May-09","In office","Orissa","Bolangir","Biju Janata Dal","Male","Graduate","B.A. (Hons.) Economics; Educated at St. Stepen`s College, Delhi University","39","19","2","373","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","35","0.9","382","74%",1,12600000,2.6e+07
"Kalyan Banerjee","Elected","18-May-09","In office","West Bengal","Serampore","All India Trinamool Congress","Male","Graduate","B.Com., LL.B; Educated at Bankura Samilani College, Bankura","57","39","0","0","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.5","0.8","175","72%",0,1,20800000
"Kalyan Singh","Elected","18-May-09","In office","Uttar Pradesh","Etah","Independent","Male","Graduate","B.A., L.T.; Educated at D.S. Degree College, Alligarh, Uttar Pradesh","82","1","0","0","50%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,7800000,826507
"Kamal Kishor","Elected","18-May-09","In office","Uttar Pradesh","Bahraich","Indian National Congress","Male","Graduate","B.A.; Indian Armed Forces","57","102","0","250","96%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,1e+06,181495
"Kamla Devi Patle","Elected","18-May-09","In office","Chhattisgarh","Janjgir-Champa","Bharatiya Janata Party","Female","Under Graduate","","47","16","0","416","71%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","13.6","0.5","183","60%",0,1,686336
"Kamlesh Balmiki","Elected","18-May-09","In office","Uttar Pradesh","Bulandshahr","Samajwadi Party","Male","Under Matric","","61","1","0","4","87%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,125000,513878
"Kamlesh Paswan","Elected","18-May-09","In office","Uttar Pradesh","Bansgaon","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur","37","20","0","116","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",0,5450000,2928000
"Kapil Muni Karwariya","Elected","18-May-09","In office","Uttar Pradesh","Phulpur","Bahujan Samaj Party","Male","Graduate","B.A., LL.B.; Educated at Allahabad University and Lucknow University","46","26","0","389","80%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","43.9","0.4","254","79%",1,NA,1
"Katti Ramesh Vishwanath","Elected","18-May-09","In office","Karnataka","Chikkodi","Bharatiya Janata Party","Male","Under Graduate","PUC (Science)","49","22","0","138","70%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.2","0.2","350","68%",0,14400000,14100000
"Kaushalendra Kumar","Elected","18-May-09","In office","Bihar","Nalanda","Janata Dal (United)","Male","Inter/ Higher Secondary","I.A.; Educated S.P.M. College, Udatpuri, Biharsharif, Nalanda, Bihar","56","93","0","457","97%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","45.1","0.7","331","87%",0,6400000,833058
"Khagen Das","Elected","18-May-09","In office","Tripura","Tripura West","Communist Party of India (Marxist)","Male","Post Graduate","M.Com., B.Ed.; Educated at S.N. College and Calcutta University, Kolkatta; West Bengal","76","37","1","310","75%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","21.5","0.5","155","80%",0,1439226,2109550
"Khatgaonkar Patil Bhaskarrao Bapurao","Elected","18-May-09","In office","Maharashtra","Nanded","Indian National Congress","Male","Graduate","B.E. (Mech.); Educated at Osmania University, Hyderabad, Andhra Pradesh","69","4","0","859","76%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","28.8","1.7","500","74%",1,29600000,34400000
"Khiladi Lal Bairwa","Elected","18-May-09","In office","Rajasthan","Karauli-Dholpur","Indian National Congress","Male","Graduate","B.A.; Educated at Hindi Vishwavidyalaya Allahabad, Uttar Pradesh","50","22","0","162","91%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","51.5","1","304","88%",0,59800000,2972340
"Kirit Premjibhai Solanki","Elected","18-May-09","In office","Gujarat","Ahmedabad West","Bharatiya Janata Party","Male","Post Graduate","M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of","63","157","10","457","89%"," (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)","37.9","0.8","300","76%","41","1.4","382","76%",0,2.3e+07,3122439
