mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900592,Vilasrao Dagadojirao Deshmukh,Elected,04-08-2009,14-08-2012,Second Term,N/A,Maharashtra,Indian National Congress,Male,Professional Graduate,"B.Sc., B.A., LL.B. Educated at Garware College, Pune University, Pune and I.L.S. Law College, Pune (Maharashtra)",79,N/A,N/A,N/A,N/A,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 10-02-2024.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rajya Sabha
900061,Ashok Bajpai,Elected,03-04-2018,02-04-2024,First Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Male,Doctorate,"B.Sc., LL.B., Diploma in Public Administration, M.A. (Public Administration), M.A. (Political Science), Ph.D. (Public Administration) Educated at R.R. College, Hardoi, Lucknow University, Lucknow and Kanpur University, Kanpur, Uttar Pradesh",75,101,1,235,0.978193146, Data corresponds to the period from 01-06-2009 to 10-02-2024.,113.5092723,1.402770352,256.9495301,0.787043243,93.16209633,0.410344828,252.6913793,0.832984277,Rajya Sabha
900119,D. Raja,Elected,25-07-2007,24-07-2019,Second Term,N/A,Tamil Nadu,Communist Party of India,Male,Professional Graduate,"B.Sc., B.Ed. Educated at University of Madras, Chennai and Department of Education, Madras",75,628,1,1398,0.908460472, Data corresponds to the period from 01-06-2009 to 10-02-2024.,115.5008047,2.189562887,572.6544607,0.787043243,158.3688725,1.369281046,723.2148693,0.713206211,Rajya Sabha
900068,Avinash Rai Khanna,Elected,10-04-2010,09-04-2016,First Term,N/A,Punjab,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",63,145,5,588,0.915294118, Data corresponds to the period from 01-06-2009 to 10-02-2024.,60.01791652,1.283100005,325.2657498,0.787043243,58.68095238,0.985714286,304.8571429,0.786130822,Rajya Sabha
900153,Gireesh Kumar Sanghi,Elected,22-06-2004,21-06-2010,First Term,N/A,Andhra Pradesh,Indian National Congress,Male,Post Graduate,"B.A., M.A (Political Science) Educated at Osmania University, Hyderabad",68,15,3,200,0.682352941, Data corresponds to the period from 01-06-2009 to 10-02-2024.,10.16469479,0.32389617,78.08241781,0.787043243,9.75,0.75,120.3125,0.758898933,Rajya Sabha
900604,Y. P. Trivedi,Elected,03-04-2008,02-04-2014,First Term,N/A,Maharashtra,Nationalist Congress Party,Male,Professional Graduate,"B. Com., LL.B. Educated at Sydnam College, Mumbai",95,33,2,450,0.56741573, Data corresponds to the period from 01-06-2009 to 10-02-2024.,39.07140246,0.968051246,284.2491237,0.787043243,46.95140056,1.377521008,470.5297969,0.776425958,Rajya Sabha
900181,Janardhan Waghmare,Elected,03-04-2008,02-04-2014,First Term,N/A,Maharashtra,Nationalist Congress Party,Male,Doctorate,"M.A., LL.M., Ph. D. Educated at Osmania University, Hyderabad, Pune University, Pune and Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",89,79,3,830,0.75, Data corresponds to the period from 01-06-2009 to 10-02-2024.,39.07140246,0.968051246,284.2491237,0.787043243,46.95140056,1.377521008,470.5297969,0.776425958,Rajya Sabha
900237,Kirodilal Meena,Elected,04-04-2018,06-12-2023,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Professional Graduate,"M.B.B.S.; Educated at S.P. Medical College, Bikaner, Rajasthan",72,46,6,476,0.87, Data corresponds to the period from 01-06-2009 to 10-02-2024.,100.8029436,1.023572657,240.4050533,0.787043243,51.26111111,1.608333333,280.2694444,0.822358304,Rajya Sabha
900109,C.M. Ramesh,Elected,03-04-2018,02-04-2024,Third Term,N/A,Andhra Pradesh,Bharatiya Janata Party,Male,Information not available,Information not available,59,65,1,1373,0.789329685, Data corresponds to the period from 01-06-2009 to 10-02-2024.,189.8448582,2.733821306,588.1910842,0.787043243,175.0720946,3.685064935,875.0093407,0.744643398,Rajya Sabha
900598,Vishambhar Prasad Nishad,Elected,05-07-2016,04-07-2022,Second Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"M.A., LL.B.",61,515,3,1348,0.962, Data corresponds to the period from 01-06-2009 to 10-02-2024.,135.6224814,1.741974644,405.7885263,0.787043243,152.3251055,0.662439748,383.8491922,0.832984277,Rajya Sabha
